theta,phi,alpha,F,T,co,A
0.0,0.0,0.0,0.5183359384536743,0.002843055408447981,0.019121073186397552,0.45969972014427185
0.0,45.0,0.0,0.5183359384536743,0.002843055408447981,0.019121073186397552,0.45969972014427185
0.0,90.0,0.0,0.5183359384536743,0.002843055408447981,0.019121073186397552,0.45969972014427185
10.0,0.0,0.0,0.5051469206809998,0.004942669533193111,0.012300598435103893,0.47760915756225586
10.0,45.0,0.0,0.5114866495132446,0.0018738450016826391,0.013798076659440994,0.47263437509536743
10.0,90.0,0.0,0.5161499381065369,0.0012387825408950448,0.016390539705753326,0.46622034907341003
20.0,0.0,0.0,0.39170607924461365,0.06808266043663025,0.04006447643041611,0.50014328956604
20.0,45.0,0.0,0.45271405577659607,0.02538788877427578,0.01689915731549263,0.5015655755996704
20.0,90.0,0.0,0.48547640442848206,0.01912793703377247,0.009822586551308632,0.4855712950229645
30.0,0.0,0.0,0.20816712081432343,0.1837509125471115,0.13253788650035858,0.47553473711013794
30.0,45.0,0.0,0.3046121299266815,0.10102753341197968,0.0654287338256836,0.5154407620429993
30.0,90.0,0.0,0.330180287361145,0.1328287571668625,0.007984845899045467,0.5289961695671082
0.0,0.0,30.0,0.4208080470561981,0.08795835822820663,0.005461431108415127,0.4650213420391083
0.0,0.0,60.0,0.42125576734542847,0.08994180709123611,0.005465204827487469,0.4657524824142456
0.0,0.0,90.0,0.5182433128356934,0.002830666257068515,0.01912364363670349,0.45980212092399597
30.0,0.0,30.0,0.23461614549160004,0.15826722979545593,0.04054200276732445,0.545939564704895
30.0,0.0,60.0,0.10589432716369629,0.12209270894527435,0.0024859425611793995,0.5996836423873901
30.0,0.0,90.0,0.3298937976360321,0.13289117813110352,0.008003988303244114,0.5292011499404907
45.0,0.0,30.0,0.08012794703245163,0.2581465244293213,0.06980785727500916,0.5104691982269287
45.0,0.0,60.0,0.020072264596819878,0.22357195615768433,0.004085555672645569,0.49694639444351196
45.0,0.0,90.0,0.016275720670819283,0.3252822458744049,0.07171332836151123,0.5866552591323853
50.0,0.0,30.0,0.06188620254397392,0.27889740467071533,0.10677364468574524,0.458856463432312
50.0,0.0,60.0,0.01716473512351513,0.2435271441936493,0.009643858298659325,0.4564383327960968
50.0,0.0,90.0,0.0056219566613435745,0.32120630145072937,0.10376156866550446,0.5693212747573853
