theta,phi,alpha,F,T,co,A
0.0,0.0,0.0,0.4418404698371887,0.10333782434463501,0.019239388406276703,0.4355822205543518
0.0,45.0,0.0,0.4418404698371887,0.10333782434463501,0.019239388406276703,0.4355822205543518
0.0,90.0,0.0,0.4418404698371887,0.10333782434463501,0.019239388406276703,0.4355822205543518
10.0,0.0,0.0,0.23663729429244995,0.14579713344573975,0.025203093886375427,0.5923624038696289
10.0,45.0,0.0,0.2890591025352478,0.12030310928821564,0.021025080233812332,0.5663636326789856
10.0,90.0,0.0,0.4168587923049927,0.091087207198143,0.02754545584321022,0.46450841426849365
20.0,0.0,0.0,0.25769832730293274,0.15873229503631592,0.05081760138273239,0.5327517986297607
20.0,45.0,0.0,0.23123593628406525,0.14484207332134247,0.024464957416057587,0.5850794911384583
20.0,90.0,0.0,0.339844673871994,0.06530795991420746,0.055356547236442566,0.539490818977356
30.0,0.0,0.0,0.24731746315956116,0.13791775703430176,0.08386875689029694,0.5308959484100342
30.0,45.0,0.0,0.27726927399635315,0.1396397203207016,0.01396668516099453,0.5541641712188721
30.0,90.0,0.0,0.22880502045154572,0.054107747972011566,0.09972362220287323,0.6173635125160217
0.0,0.0,30.0,0.4302822947502136,0.1442646086215973,0.0014928713208064437,0.4163532555103302
0.0,0.0,60.0,0.43051770329475403,0.14406998455524445,0.0015022235456854105,0.4162861704826355
0.0,0.0,90.0,0.4414660632610321,0.10368725657463074,0.019329886883497238,0.43551674485206604
30.0,0.0,30.0,0.2051103562116623,0.15791188180446625,0.09758386015892029,0.5212897658348083
30.0,0.0,60.0,0.11699792742729187,0.14913994073867798,0.013741869479417801,0.5932522416114807
30.0,0.0,90.0,0.2284560352563858,0.05408787727355957,0.09993179887533188,0.6175241470336914
45.0,0.0,30.0,0.176386296749115,0.1429227888584137,0.2003101408481598,0.4594448506832123
45.0,0.0,60.0,0.074493907392025,0.1730259209871292,0.017303427681326866,0.5580328106880188
45.0,0.0,90.0,0.10343308746814728,0.09093358367681503,0.16451242566108704,0.6411207318305969
50.0,0.0,30.0,0.16416354477405548,0.13190485537052155,0.2447214424610138,0.4358217120170593
50.0,0.0,60.0,0.06819599121809006,0.17198854684829712,0.022544970735907555,0.5495085120201111
50.0,0.0,90.0,0.0892169401049614,0.11246620118618011,0.18054744601249695,0.6177693605422974
