theta,phi,alpha,F,T,co,A
0.0,0.0,0.0,0.5562723278999329,0.05516890436410904,0.005751223769038916,0.3828074634075165
0.0,45.0,0.0,0.5562723278999329,0.05516890436410904,0.005751223769038916,0.3828074634075165
0.0,90.0,0.0,0.5562723278999329,0.05516890436410904,0.005751223769038916,0.3828074634075165
10.0,0.0,0.0,0.48572635650634766,0.05056128650903702,0.006219298578798771,0.4574930965900421
10.0,45.0,0.0,0.5249285101890564,0.04464482143521309,0.007452608551830053,0.4227748513221741
10.0,90.0,0.0,0.5598228573799133,0.043560199439525604,0.00803373847156763,0.38858312368392944
20.0,0.0,0.0,0.23014846444129944,0.14697666466236115,0.00977009441703558,0.6131047606468201
20.0,45.0,0.0,0.38974738121032715,0.053148165345191956,0.017875492572784424,0.5345363020896912
20.0,90.0,0.0,0.5480076670646667,0.020705752074718475,0.03447641804814339,0.39681023359298706
30.0,0.0,0.0,0.211366668343544,0.16132697463035583,0.061999931931495667,0.5653064250946045
30.0,45.0,0.0,0.22498264908790588,0.11288736760616302,0.010866818949580193,0.6247746348381042
30.0,90.0,0.0,0.48883527517318726,0.013066289946436882,0.10765308141708374,0.390445351600647
0.0,0.0,30.0,0.5464056134223938,0.05377177149057388,0.005728808231651783,0.39407917857170105
0.0,0.0,60.0,0.5463956594467163,0.05369716137647629,0.00571296876296401,0.39417874813079834
0.0,0.0,90.0,0.5561670064926147,0.05517015978693962,0.00575738912448287,0.382905513048172
30.0,0.0,30.0,0.17246714234352112,0.18246173858642578,0.04434322565793991,0.5558884739875793
30.0,0.0,60.0,0.3087254464626312,0.09404455125331879,0.03731866180896759,0.5523161888122559
30.0,0.0,90.0,0.48883408308029175,0.013083918020129204,0.1076609194278717,0.390421062707901
45.0,0.0,30.0,0.1611836701631546,0.1106257364153862,0.16681383550167084,0.537024736404419
45.0,0.0,60.0,0.18352966010570526,0.10189452767372131,0.05770111083984375,0.6523749828338623
45.0,0.0,90.0,0.3723142743110657,0.030563442036509514,0.23686110973358154,0.36026111245155334
50.0,0.0,30.0,0.13490833342075348,0.08421661704778671,0.2382732629776001,0.5270395278930664
50.0,0.0,60.0,0.1423458606004715,0.09749188274145126,0.07682917267084122,0.6725585460662842
50.0,0.0,90.0,0.3373117446899414,0.03446821868419647,0.28199851512908936,0.3462215065956116
