theta,phi,alpha,F,T,co,A
0.0,0.0,0.0,0.5180667042732239,0.09953401982784271,0.012577942572534084,0.36982131004333496
0.0,45.0,0.0,0.5180667042732239,0.09953401982784271,0.012577942572534084,0.36982131004333496
0.0,90.0,0.0,0.5180667042732239,0.09953401982784271,0.012577942572534084,0.36982131004333496
15.0,0.0,0.0,0.40586942434310913,0.08077413588762283,0.010629592463374138,0.5027268528938293
15.0,45.0,0.0,0.4760662019252777,0.06615991145372391,0.016430411487817764,0.4406471848487854
15.0,90.0,0.0,0.5364022254943848,0.06795872002840042,0.019031593576073647,0.37660735845565796
30.0,0.0,0.0,0.19261102378368378,0.17131081223487854,0.03181609511375427,0.6042619943618774
30.0,45.0,0.0,0.25576189160346985,0.09120611101388931,0.02219986729323864,0.6053438782691956
30.0,90.0,0.0,0.5061684250831604,0.019848158583045006,0.1095501184463501,0.364433228969574
40.0,0.0,0.0,0.21286308765411377,0.0895090252161026,0.110584557056427,0.587043285369873
40.0,45.0,0.0,0.19318488240242004,0.1236933022737503,0.007006962783634663,0.6149105429649353
40.0,90.0,0.0,0.45003873109817505,0.011749629862606525,0.2084486186504364,0.32976287603378296
50.0,0.0,0.0,0.11485148966312408,0.04137946665287018,0.22501444816589355,0.6187546253204346
50.0,45.0,0.0,0.18899454176425934,0.11818496137857437,0.024716787040233612,0.5713168978691101
50.0,90.0,0.0,0.4024874269962311,0.014678318053483963,0.29953333735466003,0.28330090641975403
55.0,0.0,0.0,0.011470281518995762,0.0706663727760315,0.24145351350307465,0.6764097809791565
55.0,45.0,0.0,0.18505176901817322,0.11366939544677734,0.034236300736665726,0.5436350107192993
55.0,90.0,0.0,0.3255297839641571,0.01865263283252716,0.40402257442474365,0.2517949938774109
0.0,0.0,30.0,0.5126559734344482,0.0812770277261734,0.011249499395489693,0.3944322466850281
0.0,0.0,60.0,0.512445330619812,0.08147663623094559,0.01126889418810606,0.3944283723831177
0.0,0.0,90.0,0.5181483030319214,0.099383644759655,0.012551814317703247,0.3699162006378174
30.0,0.0,30.0,0.15707802772521973,0.19082430005073547,0.026290692389011383,0.5791929960250854
30.0,0.0,60.0,0.3264177143573761,0.10206300765275955,0.04362625256180763,0.5236765742301941
30.0,0.0,90.0,0.5063119530677795,0.019845210015773773,0.10948412865400314,0.36435869336128235
45.0,0.0,30.0,0.14221957325935364,0.11343187093734741,0.14176291227340698,0.5747552514076233
45.0,0.0,60.0,0.2105485498905182,0.09116989374160767,0.08018218725919724,0.6161177754402161
45.0,0.0,90.0,0.42576974630355835,0.0126964021474123,0.25379812717437744,0.3077356517314911
50.0,0.0,30.0,0.11300303041934967,0.08722415566444397,0.2051662653684616,0.5758448839187622
50.0,0.0,60.0,0.17923285067081451,0.08792904019355774,0.10621827840805054,0.6212728023529053
50.0,0.0,90.0,0.4023526608943939,0.014673948287963867,0.2995518445968628,0.28342145681381226
