theta,phi,alpha,F,T,co,A
0.0,0.0,0.0,0.4442247450351715,0.04025576263666153,0.07080957293510437,0.4447098672389984
0.0,45.0,0.0,0.4442247450351715,0.04025576263666153,0.07080957293510437,0.4447098672389984
0.0,90.0,0.0,0.4442247450351715,0.04025576263666153,0.07080957293510437,0.4447098672389984
15.0,0.0,0.0,0.23422490060329437,0.0910404846072197,0.029122142121195793,0.6456124782562256
15.0,45.0,0.0,0.2520449161529541,0.05402979254722595,0.0351361483335495,0.6585026979446411
15.0,90.0,0.0,0.37164509296417236,0.021168289706110954,0.09714807569980621,0.5100385546684265
30.0,0.0,0.0,0.24292504787445068,0.1356675773859024,0.1080649346113205,0.5133424997329712
30.0,45.0,0.0,0.2334294617176056,0.1053493544459343,0.017531655728816986,0.6418610215187073
30.0,90.0,0.0,0.19423815608024597,0.05158044025301933,0.14793634414672852,0.6062450408935547
40.0,0.0,0.0,0.2676475942134857,0.11882241815328598,0.19630610942840576,0.41722390055656433
40.0,45.0,0.0,0.23781557381153107,0.11744549870491028,0.032733310014009476,0.6075606346130371
40.0,90.0,0.0,0.12166755646467209,0.11097395420074463,0.13789285719394684,0.6294656991958618
50.0,0.0,0.0,0.26894161105155945,0.08747634291648865,0.30190277099609375,0.34167924523353577
50.0,45.0,0.0,0.24211136996746063,0.12071916460990906,0.04773848503828049,0.5794050693511963
50.0,90.0,0.0,0.15077903866767883,0.14356163144111633,0.097689189016819,0.607970118522644
55.0,0.0,0.0,0.206778421998024,0.06689272820949554,0.4256182312965393,0.3007105588912964
55.0,45.0,0.0,0.23960472643375397,0.1213303953409195,0.05289863795042038,0.5710124969482422
55.0,90.0,0.0,0.23940306901931763,0.13519364595413208,0.06676190346479416,0.5586413741111755
0.0,0.0,30.0,0.46219876408576965,0.07477986812591553,0.04191332310438156,0.41562169790267944
0.0,0.0,60.0,0.46248042583465576,0.07457350194454193,0.04179336875677109,0.4156569242477417
0.0,0.0,90.0,0.4442829191684723,0.04023054242134094,0.07083658874034882,0.4446498453617096
30.0,0.0,30.0,0.2744535207748413,0.10511093586683273,0.07562310248613358,0.5223761796951294
30.0,0.0,60.0,0.17105349898338318,0.08916124701499939,0.01348189264535904,0.5729094743728638
30.0,0.0,90.0,0.1943039447069168,0.05163804814219475,0.14796598255634308,0.6060919761657715
45.0,0.0,30.0,0.23715810477733612,0.11438219994306564,0.1793109029531479,0.41354799270629883
45.0,0.0,60.0,0.061100900173187256,0.13150715827941895,0.02266022190451622,0.5252740979194641
45.0,0.0,90.0,0.12180593609809875,0.1329764723777771,0.11971716582775116,0.6255003809928894
50.0,0.0,30.0,0.22554057836532593,0.10482900589704514,0.22369274497032166,0.3763248324394226
50.0,0.0,60.0,0.0388372540473938,0.1320320963859558,0.03769752383232117,0.4917604327201843
50.0,0.0,90.0,0.15085242688655853,0.14361636340618134,0.09768350422382355,0.6078476309776306
