run,theta,phi,alpha,F,T,co,A
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,0.0,0.0,0.0,0.5180667042732239,0.0995340198278427,0.012577942572534,0.3698213100433349
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,0.0,45.0,0.0,0.5180667042732239,0.0995340198278427,0.012577942572534,0.3698213100433349
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,0.0,90.0,0.0,0.5180667042732239,0.0995340198278427,0.012577942572534,0.3698213100433349
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,15.0,0.0,0.0,0.4058694243431091,0.0807741358876228,0.0106295924633741,0.5027268528938293
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,15.0,45.0,0.0,0.4760662019252777,0.0661599114537239,0.0164304114878177,0.4406471848487854
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,15.0,90.0,0.0,0.5364022254943848,0.0679587200284004,0.0190315935760736,0.3766073584556579
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,30.0,0.0,0.0,0.1926110237836837,0.1713108122348785,0.0318160951137542,0.6042619943618774
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,30.0,45.0,0.0,0.2557618916034698,0.0912061110138893,0.0221998672932386,0.6053438782691956
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,30.0,90.0,0.0,0.5061684250831604,0.019848158583045,0.1095501184463501,0.364433228969574
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,40.0,0.0,0.0,0.2128630876541137,0.0895090252161026,0.110584557056427,0.587043285369873
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,40.0,45.0,0.0,0.19318488240242,0.1236933022737503,0.0070069627836346,0.6149105429649353
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,40.0,90.0,0.0,0.450038731098175,0.0117496298626065,0.2084486186504364,0.3297628760337829
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,50.0,0.0,0.0,0.114851489663124,0.0413794666528701,0.2250144481658935,0.6187546253204346
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,50.0,45.0,0.0,0.1889945417642593,0.1181849613785743,0.0247167870402336,0.5713168978691101
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,50.0,90.0,0.0,0.4024874269962311,0.0146783180534839,0.29953333735466,0.283300906419754
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,55.0,0.0,0.0,0.0114702815189957,0.0706663727760315,0.2414535135030746,0.6764097809791565
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,55.0,45.0,0.0,0.1850517690181732,0.1136693954467773,0.0342363007366657,0.5436350107192993
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,55.0,90.0,0.0,0.3255297839641571,0.0186526328325271,0.4040225744247436,0.2517949938774109
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,0.0,0.0,30.0,0.5126559734344482,0.0812770277261734,0.0112494993954896,0.3944322466850281
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,0.0,0.0,60.0,0.512445330619812,0.0814766362309455,0.011268894188106,0.3944283723831177
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,0.0,0.0,90.0,0.5181483030319214,0.099383644759655,0.0125518143177032,0.3699162006378174
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,30.0,0.0,30.0,0.1570780277252197,0.1908243000507354,0.0262906923890113,0.5791929960250854
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,30.0,0.0,60.0,0.3264177143573761,0.1020630076527595,0.0436262525618076,0.5236765742301941
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,30.0,0.0,90.0,0.5063119530677795,0.0198452100157737,0.1094841286540031,0.3643586933612823
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,45.0,0.0,30.0,0.1422195732593536,0.1134318709373474,0.1417629122734069,0.5747552514076233
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,45.0,0.0,60.0,0.2105485498905182,0.0911698937416076,0.0801821872591972,0.6161177754402161
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,45.0,0.0,90.0,0.4257697463035583,0.0126964021474123,0.2537981271743774,0.3077356517314911
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,50.0,0.0,30.0,0.1130030304193496,0.0872241556644439,0.2051662653684616,0.5758448839187622
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,50.0,0.0,60.0,0.1792328506708145,0.0879290401935577,0.1062182784080505,0.6212728023529053
D2_P278_H230_cont55_D2_P278_H230_cont30_D2_P278_,50.0,0.0,90.0,0.4023526608943939,0.0146739482879638,0.2995518445968628,0.2834214568138122
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,0.0,0.0,0.0,0.5183359384536743,0.0028430554084479,0.0191210731863975,0.4596997201442718
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,0.0,45.0,0.0,0.5183359384536743,0.0028430554084479,0.0191210731863975,0.4596997201442718
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,0.0,90.0,0.0,0.5183359384536743,0.0028430554084479,0.0191210731863975,0.4596997201442718
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,10.0,0.0,0.0,0.5051469206809998,0.0049426695331931,0.0123005984351038,0.4776091575622558
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,10.0,45.0,0.0,0.5114866495132446,0.0018738450016826,0.0137980766594409,0.4726343750953674
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,10.0,90.0,0.0,0.5161499381065369,0.001238782540895,0.0163905397057533,0.46622034907341
C2_P278_H200_cont30_C2_P278_H200_warm~-home-uad7,20.0,0.0,0.0,0.3917060792446136,0.0680826604366302,0.0400644764304161,0.50014328956604
