tag,branch,P,H,seed,iters,stage,lossless,order_opt,runtime_s,lamT,lamCo,sha256_rho,F,Faf,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
C2_P272_H200_multi9,C2,272.0,200.0,multi9,110,device_C2,False,7,184.71428060531616,2.0,2.0,d9d90d2bf48c23e23d4cd0d7b092f7ff408010de4b50efae21b6fe39a0b94b75,0.5772852897644043,0.577686607837677,0.0050565879791975,0.008473178371787,0.5861597657203674,0.4087836444377899,0.5776865482330322,0.6827055215835571,0.8398988842964172,172.744384765625,7.255615234375,0.0400629974901676,3,25.5,2.833333333333333,1.9157044592174517,0.3704427083333333
C2_P278_H200_warm~-home-uad7868eb,C2,278.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,device_C2,False,7,184.25588178634644,2.0,2.0,09442ee9735fd19380089dd8ca4cbbdf6c7cdf74175c6e0f5ce549481ca8521d,0.5610513091087341,0.5610513091087341,0.020600289106369,0.017573183402419,0.5786244869232178,0.4007752239704132,0.5610512495040894,0.7047629952430725,0.8127472996711731,-198.41030883789065,18.410308837890625,0.0001311903033638,1,107.14583333333334,95.5625,12.275612515975013,0.2599826388888889
C2_P272_H200_warm~-home-uad7868eb,C2,272.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,device_C2,False,7,186.25999069213867,2.0,2.0,d8343c54dd0510bcff72ad8e845cbf05810122215877488026220333c2f90389,0.5470826029777527,0.5470826625823975,0.0218220464885234,0.023590138182044,0.5706727504730225,0.4075052142143249,0.5470826625823975,0.695802628993988,0.8106812834739685,158.13380432128906,21.866195678710938,0.0001552515168441,1,104.83333333333334,93.5,8.074692827515406,0.2703993055555556
C2_P272_H230_multi9,C2,272.0,230.0,multi9,110,device_C2,False,7,197.4841940402985,5.120000000000001,2.0,d1580bbe56439012348f3f2b65db00190f5a2810113ace81da0d14e854b8866d,0.5451810956001282,0.6120577454566956,0.0092969303950667,0.0039407704025506,0.6165031790733337,0.3741998970508575,0.6125622987747192,0.6985649466514587,0.781185507774353,187.33724975585935,7.337249755859375,0.5191582441329956,1,76.5,2.833333333333333,0.9087731023711284,0.3268229166666667
C2_P264_H230_multi9,C2,264.0,230.0,multi9,110,device_C2,False,7,196.17974543571472,5.120000000000001,3.2,6422d163f7f7d72c897e5751cd62726f3f5297d74ddc3aea5572ec69b67b5f41,0.532593309879303,0.5382251143455505,0.0115941390395164,0.0047747381031513,0.5430001020431519,0.4454057514667511,0.5382252335548401,0.6661276817321777,0.7943614721298218,175.94061279296875,4.05938720703125,0.1500927060842514,1,74.25,46.75,3.1985006689279203,0.2769097222222222
C2_P278_H170_warm~-home-uad7868eb,C2,278.0,170.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,device_C2,False,7,178.78722405433655,13.107200000000004,20.97152000000001,f9777469b67452812dbe14321ffe5bb3d255fadb21574e45d2a5fb2af44fb557,0.5313692688941956,0.5313692092895508,0.0793930292129516,0.0518946200609207,0.5832639336585999,0.3373430371284485,0.5313692092895508,0.732005774974823,0.7941632866859436,-214.4331970214844,34.433197021484375,0.0002186691126553,1,89.77083333333334,2.895833333333333,2.7721016349211283,0.2751736111111111
C2_P264_H200_warm~-home-uad7868eb,C2,264.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,device_C2,False,7,190.5761866569519,2.0,2.0,542acf2644d5f271f00e23d686d89c61df3ec55949a417abd955d46567e6df55,0.5301242470741272,0.5301242470741272,0.0217417385429143,0.0125682298094034,0.5426924824714661,0.4355657696723938,0.5301241874694824,0.6584982872009277,0.8073196411132812,166.7921600341797,13.207839965820312,9.265526750823484e-05,1,101.75,8.25,2.866717168040765,0.2899305555555556
C2_P278_H170_rand21,C2,278.0,170.0,rand21,110,device_C2,False,7,177.15599417686462,2.0,2.0,7c74109b758422e251401bd60d34da0fcc12a59760aaa5bd378d8e1ffe909227,0.5277606248855591,0.5339298248291016,0.0073509784415364,0.0137008354067802,0.5476388931274414,0.4450101256370544,0.533937931060791,0.6156488060951233,0.8389873504638672,174.40402221679688,5.595977783203125,0.1571915596723556,1,130.3125,2.895833333333333,0.7143382883453171,0.4346788194444444
C2_P278_H230_warm~-home-uad7868eb,C2,278.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,device_C2,False,7,198.3478467464447,2.0,2.0,829eb204c0485cb0c6db1decd38872a0acc32f386306b2981b6d403ea1f811c6,0.5170832872390747,0.5170834064483643,0.0442553609609603,0.0070117474533617,0.5240951180458069,0.4316495060920715,0.5170832872390747,0.6901059746742249,0.7562697529792786,167.77516174316406,12.224838256835938,0.0001176958758151,1,66.60416666666667,101.35416666666669,14.015502789092553,0.2296006944444444
C2_P278_H260_warm~-home-uad7868eb,C2,278.0,260.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,device_C2,False,7,197.18480253219604,13.107200000000004,5.120000000000001,ea39d823bfc471e8845bc49e7b3e3785627580d620b53f48cdef6647a8832ada,0.5149755477905273,0.5149755477905273,0.0457222983241081,0.0058664036914706,0.5208420753479004,0.4334356188774109,0.5149756073951721,0.6940971612930298,0.748273491859436,168.58961486816406,11.410385131835938,0.0002212265972048,1,49.22916666666667,95.5625,15.011204664513542,0.2256944444444444
