tag,theta,phi,F,Faf,T,co,Rtot,A,Rcross
A_P271_H185_s11_g96_o9,0.0,0.0,0.5261361002922058,0.5261361002922058,0.0804111510515213,0.08058085292577744,0.6067169904708862,0.31287187337875366,0.5261361002922058
A_P271_H185_s11_g96_o9,0.0,45.0,0.5261361002922058,0.5261361002922058,0.0804111510515213,0.08058085292577744,0.6067169904708862,0.31287187337875366,0.5261361002922058
A_P271_H185_s11_g96_o9,0.0,90.0,0.5261361002922058,0.5261361002922058,0.0804111510515213,0.08058085292577744,0.6067169904708862,0.31287187337875366,0.5261361002922058
A_P271_H185_s11_g96_o9,20.0,0.0,0.23694269359111786,0.23694269359111786,0.16166722774505615,0.18123216927051544,0.4181748926639557,0.42015790939331055,0.23694270849227905
A_P271_H185_s11_g96_o9,20.0,45.0,0.34054428339004517,0.3405483067035675,0.09887801110744476,0.14932283759117126,0.491643488407135,0.40947848558425903,0.34232059121131897
A_P271_H185_s11_g96_o9,20.0,90.0,0.5125340819358826,0.5125340819358826,0.04862847179174423,0.09451804310083389,0.607052206993103,0.34431931376457214,0.5125341415405273
A_P271_H185_s11_g96_o9,40.0,0.0,0.06406573951244354,0.06406573951244354,0.31554967164993286,0.21497681736946106,0.2790426015853882,0.40540772676467896,0.06406573951244354
A_P271_H185_s11_g96_o9,40.0,45.0,0.13015972077846527,0.13047926127910614,0.1928989738225937,0.20158061385154724,0.3649802803993225,0.4421207308769226,0.16339969635009766
A_P271_H185_s11_g96_o9,40.0,90.0,0.24487856030464172,0.24487856030464172,0.17199653387069702,0.10688243806362152,0.3517610430717468,0.47624242305755615,0.24487856030464172
A_P271_H185_s11_g96_o9,50.0,0.0,0.029374178498983383,0.029374172911047935,0.31837010383605957,0.17372362315654755,0.20309782028198242,0.478532075881958,0.029374178498983383
A_P271_H185_s11_g96_o9,50.0,45.0,0.07458772510290146,0.09161972254514694,0.21682609617710114,0.18727059662342072,0.3461305797100067,0.43704330921173096,0.15886005759239197
A_P271_H185_s11_g96_o9,50.0,90.0,0.006125085521489382,0.006125085521489382,0.5005345344543457,0.04334127902984619,0.049466364085674286,0.4499990940093994,0.006125085987150669
A_P271_H200_s11_g96_o9,0.0,0.0,0.5261819362640381,0.5261819362640381,0.05431345850229263,0.06442335247993469,0.5906053781509399,0.355081170797348,0.5261819958686829
A_P271_H200_s11_g96_o9,0.0,45.0,0.5261819362640381,0.5261819362640381,0.05431345850229263,0.06442335247993469,0.5906053781509399,0.355081170797348,0.5261819958686829
A_P271_H200_s11_g96_o9,0.0,90.0,0.5261819362640381,0.5261819362640381,0.05431345850229263,0.06442335247993469,0.5906053781509399,0.355081170797348,0.5261819958686829
A_P271_H200_s11_g96_o9,20.0,0.0,0.1497146338224411,0.1497146338224411,0.1794518232345581,0.2074936330318451,0.3572083115577698,0.4633398652076721,0.1497146487236023
A_P271_H200_s11_g96_o9,20.0,45.0,0.2341686189174652,0.23418021202087402,0.09775079786777496,0.17425751686096191,0.41263729333877563,0.4896119236946106,0.23837977647781372
A_P271_H200_s11_g96_o9,20.0,90.0,0.4938400983810425,0.4938400983810425,0.022390613332390785,0.09442923218011856,0.5882693529129028,0.38934004306793213,0.4938400387763977
A_P271_H200_s11_g96_o9,40.0,0.0,0.08188828825950623,0.08188832551240921,0.29342058300971985,0.25287875533103943,0.3347671627998352,0.37181225419044495,0.08188831806182861
A_P271_H200_s11_g96_o9,40.0,45.0,0.09077494591474533,0.09990809857845306,0.20605847239494324,0.22819682955741882,0.35696882009506226,0.4369727075099945,0.12877199053764343
A_P271_H200_s11_g96_o9,40.0,90.0,0.21573534607887268,0.2157353162765503,0.15037351846694946,0.1474272906780243,0.3631626069545746,0.48646384477615356,0.2157353162765503
A_P271_H200_s11_g96_o9,50.0,0.0,0.09179780632257462,0.09179778397083282,0.2951401472091675,0.2661687135696411,0.3579665422439575,0.346893310546875,0.09179779887199402
A_P271_H200_s11_g96_o9,50.0,45.0,0.06783732771873474,0.11596078425645828,0.23451392352581024,0.20940211415290833,0.3551566004753113,0.4103294610977173,0.14575445652008057
A_P271_H200_s11_g96_o9,50.0,90.0,0.06235736608505249,0.06235736608505249,0.3647887110710144,0.09012855589389801,0.1524859368801117,0.4827253222465515,0.06235737353563309
A_P271_H200_wideangle,0.0,0.0,0.5175650119781494,0.5175650715827942,0.016131781041622162,0.07116890698671341,0.5887339115142822,0.395134299993515,0.5175650119781494
A_P271_H200_wideangle,0.0,45.0,0.5175650119781494,0.5175650715827942,0.016131781041622162,0.07116890698671341,0.5887339115142822,0.395134299993515,0.5175650119781494
A_P271_H200_wideangle,0.0,90.0,0.5175650119781494,0.5175650715827942,0.016131781041622162,0.07116890698671341,0.5887339115142822,0.395134299993515,0.5175650119781494
A_P271_H200_wideangle,20.0,0.0,0.18955513834953308,0.1895551085472107,0.13065896928310394,0.20840102434158325,0.3979562222957611,0.47138476371765137,0.1895551234483719
A_P271_H200_wideangle,20.0,45.0,0.2788536846637726,0.27885958552360535,0.07193592190742493,0.1710205227136612,0.4518324136734009,0.4762316644191742,0.2808118462562561
A_P271_H200_wideangle,20.0,90.0,0.4539346992969513,0.4539346992969513,0.020724451169371605,0.10384431481361389,0.5577791333198547,0.4214964210987091,0.4539346992969513
A_P271_H200_wideangle,40.0,0.0,0.10728195309638977,0.10728196799755096,0.23626203835010529,0.2617132067680359,0.3689952492713928,0.3947427272796631,0.10728196054697037
A_P271_H200_wideangle,40.0,45.0,0.09200028330087662,0.10637988895177841,0.20691345632076263,0.2259761095046997,0.34231340885162354,0.45077311992645264,0.11633728444576263
A_P271_H200_wideangle,40.0,90.0,0.1371796578168869,0.1371796578168869,0.28522807359695435,0.10915552079677582,0.2463352084159851,0.46843671798706055,0.1371796727180481
A_P271_H200_wideangle,50.0,0.0,0.12626618146896362,0.12626618146896362,0.23324039578437805,0.27252745628356934,0.39879369735717773,0.3679659068584442,0.12626618146896362
A_P271_H200_wideangle,50.0,45.0,0.07249009609222412,0.1213119626045227,0.2396635264158249,0.20806071162223816,0.3326602280139923,0.427676260471344,0.12459950149059296
