tag,branch,P,H,seed,iters,stage,lossless,order_opt,runtime_s,lamT,lamCo,sha256_rho,F,Faf,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
D2_P278_H230_mut1~-home-ub39c580f,D2,278.0,230.0,mut1:/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P278_H230_warm~-home-ue54944fa/rho_binary.npy,110,mutation,False,7,193.72576308250427,2.0,2.0,2b7368b886c9439553f489b1034da3ccfbbb50c641b1415d47fa23056fbb2c3e,0.6147525906562805,0.6147527098655701,0.008402700535953045,0.005078996531665325,0.6198316812515259,0.3717656135559082,0.6147526502609253,0.7555290460586548,0.8178259134292603,189.3548126220703,9.354812622070312,0.00016021910414565355,1,72.39583333333334,72.39583333333334,5.2884921668758835,0.2916666666666667
D2_P278_H230_mut2~-home-uf7a255ca,D2,278.0,230.0,mut2:/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P278_H230_warm~-home-ue54944fa/rho_binary.npy,110,mutation,False,7,193.99374794960022,2.0,2.0,6c8fe1a68e6ae8e58c9f96cc38f681eb5a0390c5a894d02c77e2b7713c986a51,0.6312136650085449,0.6312136650085449,0.011744696646928787,0.015924040228128433,0.6471376419067383,0.34111765027046204,0.6312136650085449,0.8074254989624023,0.8014608025550842,198.0452117919922,18.045211791992188,7.070349238347262e-05,1,72.39583333333334,2.8958333333333335,1.5332944551300045,0.3194444444444444
D2_P278_H230_mut3~-home-ua70ae860,D2,278.0,230.0,mut3:/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P278_H230_warm~-home-ue54944fa/rho_binary.npy,110,mutation,False,7,193.09608793258667,2.0,2.0,139450a16b297fc870d3a0e9afe785ac5b99f7e807bf74b4b5395a1aef7b2552,0.6100512742996216,0.610051155090332,0.012364888563752174,0.007634595036506653,0.617685854434967,0.36994925141334534,0.610051155090332,0.7549641132354736,0.8157210946083069,191.9847412109375,11.9847412109375,7.113901665434241e-05,1,66.60416666666667,2.8958333333333335,2.7721016349211283,0.2916666666666667
D2_P272_H230_mut4~-home-u2538a30c,D2,272.0,230.0,mut4:/home/user/ENZ/rtype_perfectR_campaign/ceiling_theta0/D2_P272_H230_warm~-home-ue54944fa/rho_binary.npy,110,mutation,False,7,193.38889384269714,2.0,2.0,10fbb9c9fbf4b38248ebbb7be06182c90bef0c239829877cf49f0a7913e0b819,0.6387463808059692,0.6387462615966797,0.01028931513428688,0.015921905636787415,0.6546682715415955,0.33504241704940796,0.6387463212013245,0.8167364597320557,0.8014225363731384,197.91213989257812,17.912139892578125,0.00019580553635023534,1,70.83333333333334,2.8333333333333335,1.9157044592174515,0.3441840277777778
D2_P272_H230_mut11~-home-806b66aa,D2,272.0,230.0,mut11:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P272_H230_mut4~-home-u2538a30c/rho_binary.npy,110,mutation,False,7,195.2518720626831,2.0,2.0,601b707fc18283411d5de6ab5c99e8c1cf80312080bc54a13f24748e864a1ca9,0.6324846744537354,0.6324846744537354,0.008517417125403881,0.015729986131191254,0.6482148170471191,0.3432677686214447,0.6324846744537354,0.8084671497344971,0.8017545342445374,197.91761779785156,17.917617797851562,0.00046629540156573057,1,70.83333333333334,2.8333333333333335,1.2434761693543521,0.3346354166666667
D2_P272_H230_mut12~-home-c561deff,D2,272.0,230.0,mut12:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P272_H230_mut4~-home-u2538a30c/rho_binary.npy,110,mutation,False,7,197.88618183135986,2.0,3.2,d02f557e1b7b0c103079078aa16971482fc424173c745fd29f8c087f9080a580,0.6333522200584412,0.6333522200584412,0.008138014934957027,0.010165588930249214,0.643517792224884,0.34834420680999756,0.6333521604537964,0.8018289804458618,0.8025620579719543,194.44061279296875,14.44061279296875,0.00014815223403275013,1,70.83333333333334,2.8333333333333335,1.7136382015483207,0.3315972222222222
D2_P272_H230_mut13~-home-658b629e,D2,272.0,230.0,mut13:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P272_H230_mut4~-home-u2538a30c/rho_binary.npy,110,mutation,False,7,203.1478054523468,2.0,2.0,57e4087f53ef78dab82ea922f8289aae0941bdd1c4ecf2e66919a5501f6bad08,0.6349108815193176,0.6349110007286072,0.009977437555789948,0.01573507860302925,0.6506460905075073,0.3393764793872833,0.6349109411239624,0.8110532164573669,0.8021750450134277,197.8821563720703,17.882156372070312,5.3893782023806125e-05,1,70.83333333333334,2.8333333333333335,2.3208691002874247,0.3381076388888889
D2_P278_H230_mut14~-home-6a3c9b4e,D2,278.0,230.0,mut14:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P278_H230_mut2~-home-uf7a255ca/rho_binary.npy,110,mutation,False,7,198.05883502960205,2.0,2.0,b8ea4f0900e58ec7550c9de0e6c36bbb4536452c2b0fc9c591053e4f7befa4b1,0.6441690921783447,0.6441692113876343,0.013832801021635532,0.02169254794716835,0.6658618450164795,0.32030534744262695,0.6441692113876343,0.8393467664718628,0.7919725775718689,200.5409393310547,20.540939331054688,0.00037475640419870615,1,72.39583333333334,2.8958333333333335,0.30689351457822056,0.3428819444444444
D2_P278_H230_mut15~-home-6ec55f13,D2,278.0,230.0,mut15:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P278_H230_mut2~-home-uf7a255ca/rho_binary.npy,110,mutation,False,7,208.7111427783966,2.0,2.0,36f43fda0c7a2bf295afdf2811e333a6d1a2db1bd4599a2403b1a18bf4ebaab4,0.631764829158783,0.6317648887634277,0.012973034754395485,0.016018632799386978,0.6477835178375244,0.33924344182014465,0.6317648887634277,0.806935727596283,0.8027588725090027,198.09255981445312,18.092559814453125,0.00018952286336570978,1,72.39583333333334,2.8958333333333335,1.5332944551300045,0.3194444444444444
D2_P278_H230_mut16~-home-f5edc735,D2,278.0,230.0,mut16:/home/user/ENZ/rtype_perfectR_campaign/mutation/D2_P278_H230_mut2~-home-uf7a255ca/rho_binary.npy,110,mutation,False,7,258.8258216381073,2.0,2.0,7ac935b8f1231bf916040f6f840f040bde952e5e9f9065ae264ee8c529407b8f,0.6502798199653625,0.650279700756073,0.01233737263828516,0.00973566621541977,0.6600154638290405,0.3276471495628357,0.6502797603607178,0.837768018245697,0.7862415313720703,193.47921752929688,13.479217529296875,8.746308594709262e-05,1,72.39583333333334,2.8958333333333335,0.03600765718519483,0.3428819444444444
