tag,branch,P,H,seed,iters,stage,lossless,order_opt,runtime_s,lamT,lamCo,sha256_rho,F,Faf,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
D2_P400_H170_multi7,D2,400.0,170.0,multi7,110,ceiling_largeP,False,9,681.1044392585754,2.0,2.0,518aa6b7cb21058c6e8af9079c390dbbe68d42df14f7f4c4f594cee9c2ed0aac,0.6767581701278687,0.6767580509185791,0.006760214921087,0.0002933057548943,0.6770514249801636,0.3161883652210235,0.6767580509185791,0.8397775888442993,0.8055287003517151,-180.0337677001953,0.0337677001953125,2.473667700542137e-05,1,104.16666666666669,4.166666666666667,1.075762880472979,0.4105902777777778
C2_P272_H200_multi9,C2,272.0,200.0,multi9,110,device_C2,False,7,184.71428060531616,2.0,2.0,d9d90d2bf48c23e23d4cd0d7b092f7ff408010de4b50efae21b6fe39a0b94b75,0.5772852897644043,0.577686607837677,0.0050565879791975,0.008473178371787,0.5861597657203674,0.4087836444377899,0.5776865482330322,0.6827055215835571,0.8398988842964172,172.744384765625,7.255615234375,0.0400629974901676,3,25.5,2.833333333333333,1.9157044592174517,0.3704427083333333
D2_P278_H200_mix~-home-usd4d2ddf4,D2,278.0,200.0,mix:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/mirror.npy+/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,ceiling_theta0,False,7,184.64049458503723,2.0,2.0,c8203ec19590a91971b8383a9e5eb1bffa10506758402cebd55b1a1c40999c1b,0.5394551157951355,0.5394551157951355,0.0045203370973467,0.0095847118645906,0.549039900302887,0.4464397728443146,0.5394551753997803,0.6675980687141418,0.8077082633972168,169.3123779296875,10.6876220703125,6.903443136252463e-05,1,72.39583333333334,14.479166666666668,6.996148530569471,0.2964409722222222
FULL_P272_H200_rand31,FULL,272.0,200.0,rand31,110,device_full,False,7,184.69485235214236,3.2,3.2,9c0082036282067727c0ac2115f7aa8536a2f8bf28bc3d17c98707d8b62c5a3d,0.5226373672485352,0.5226431488990784,0.0046354881487786,0.0058361943811178,0.5284892320632935,0.466875284910202,0.5226529240608215,0.7966716885566711,0.6498165726661682,-176.6414337158203,3.3585662841796875,0.0078881783410906,1,93.5,2.833333333333333,0.3751799080213089,0.3224826388888889
D2_P264_H170_warm~-home-uad7868eb,D2,264.0,170.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,ceiling_theta0,False,7,138.84234285354614,33.55443200000001,40.0,e576e6204c056d3d9881e441c5c1057126b1942ea4cdeba912e354b03a306b9d,0.5112062096595764,0.5112061500549316,0.0858038589358329,0.101548932492733,0.6127551794052124,0.301440954208374,0.5112061500549316,0.7981184124946594,0.7671488523483276,-228.00442504882807,48.004425048828125,7.375073619186878e-05,1,90.75,2.75,1.026269138222517,0.2894965277777778
D2_P264_H170_warm~-home-ue54944fa,D2,264.0,170.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,139.38395476341248,33.55443200000001,40.0,5fcef904a6b723e17014914b25901c3f9c47c0015be3bd6436cb45d5af80814b,0.5085620284080505,0.5085621476173401,0.1061360985040664,0.0902959704399108,0.5988582372665405,0.2950056791305542,0.5085622072219849,0.8054513335227966,0.7409210801124573,-225.5026397705078,45.50263977050781,0.000742130272556,1,85.25,2.75,1.026269138222517,0.2860243055555556
D2_P272_H260_warm~-home-ue54944fa,D2,272.0,260.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,150.90764093399048,33.55443200000001,20.97152000000001,f243b1128e03d3aed26ade619b825a354df6ef165bc2b7b0463ddb0b2f2efb73,0.5018597841262817,0.5018597841262817,0.0592945888638496,0.0002257635205751,0.5020855665206909,0.43861985206604,0.5018597841262817,0.7046476006507874,0.7124906182289124,177.6541748046875,2.3458251953125,0.0002711767156142,1,65.16666666666667,70.83333333333334,9.002666202369895,0.21875
C2_P278_H230_multi9,C2,278.0,230.0,multi9,110,device_C2,False,7,195.07418656349185,13.107200000000004,13.107200000000004,4bdc5a4a537ed8dab7ebf4be6ee71d838d34061d8acc13a82c9faebece1bb9ac,0.4805384576320648,0.4993729591369629,0.011666634120047,7.850019756006077e-06,0.5000556111335754,0.4882777631282806,0.5000476837158203,0.6912072896957397,0.6952159404754639,-179.67672729492188,0.323272705078125,0.2793511748313904,5,43.4375,2.895833333333333,2.082321397170702,0.3203125
D2_P278_H140_warm~-home-uad7868eb,D2,278.0,140.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,ceiling_theta0,False,7,138.17702269554138,40.0,40.0,2ccb15b869c07c32ca595526f8a5138fe2184f425c20c0d7c423303a7b4b07df,0.4737738966941833,0.4737739861011505,0.1100989207625389,0.1640660464763641,0.6378400325775146,0.2520610392093658,0.4737739562988281,0.8738875389099121,0.7155421376228333,-240.31097412109372,60.31097412109375,0.0002644548658281,1,95.5625,2.895833333333333,0.2391164648426382,0.2877604166666667
D2_P278_H140_warm~-home-ue54944fa,D2,278.0,140.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,138.08079624176025,40.0,40.0,b847edbf35f26c38d0674441bfa3c1696294ce5127a4ac0fd98f1494b4109b31,0.4727832973003387,0.4727832973003387,0.1118516698479652,0.1653964668512344,0.6381797790527344,0.2499685585498809,0.4727832674980163,0.8779664039611816,0.7110095024108887,-240.50051879882807,60.500518798828125,0.0001387794036418,1,89.77083333333334,2.895833333333333,0.510447859556848,0.2855902777777778
D2_P252_H170_warm~-home-ue54944fa,D2,252.0,170.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,138.4757478237152,40.0,40.0,e1cfa48cac2bf26d7145c1075f6b4f495ff30ac5df04c9175abe973566e39d8c,0.4645352959632873,0.4645352959632873,0.1150771528482437,0.1587330549955368,0.6232684850692749,0.2616543769836426,0.4645353555679321,0.8493289351463318,0.7246910333633423,-240.20919799804688,60.20919799804688,0.0004186535661574,1,86.625,2.625,0.734376107056832,0.296875
D2_P252_H170_warm~-home-uad7868eb,D2,252.0,170.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,ceiling_theta0,False,7,139.44915461540222,40.0,40.0,cc81018179d738a4808370744d80f688e5d00562c7a9e0f088719924f1eff65e,0.4640076458454132,0.4640077352523803,0.1094181761145591,0.1638153493404388,0.6278231143951416,0.2627587020397186,0.4640077352523803,0.8489912152290344,0.7313413023948669,-241.08721923828125,61.08721923828125,0.0001793936098692,1,91.875,2.625,0.734376107056832,0.2986111111111111
D2_P272_H140_warm~-home-ue54944fa,D2,272.0,140.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,138.5412459373474,40.0,40.0,ff5816040071a357254ccdecf92e45516924d4bb72b1b74b8aae0f85356f72c1,0.4534681737422943,0.4534681737422943,0.1283741891384124,0.1812582015991211,0.6347265243530273,0.2368992865085601,0.4534682035446167,0.8913701772689819,0.6891387104988098,-243.69569396972656,63.69569396972656,0.000183971307706,1,93.5,2.833333333333333,0.3751799080213089,0.2890625
D2_P272_H140_warm~-home-uad7868eb,D2,272.0,140.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,ceiling_theta0,False,7,137.75642013549805,40.0,40.0,997298314346b2db01708f07edc41cee052ddf115130a9acaf580936b2816af4,0.453006386756897,0.4530064761638641,0.1224312782287597,0.1860670447349548,0.6390734910964966,0.2384952306747436,0.4530064463615417,0.8896947503089905,0.69756019115448,-244.5248260498047,64.52482604980469,0.0001158491359092,1,93.5,2.833333333333333,0.1756899920844006,0.2912326388888889
FULL_P278_H230_multi13,FULL,278.0,230.0,multi13,110,device_full,False,7,191.3749952316284,5.120000000000001,3.2,e697658bc2b75b50b1a054bf31e1ac37ad40c279514809c8abea0bf51813b20e,0.4288521111011505,0.5558425188064575,0.0056308782659471,0.0009164697257801,0.5575265884399414,0.436842530965805,0.556610107421875,0.6495957374572754,0.6614851355552673,185.19085693359372,5.19085693359375,0.7148650288581848,1,72.39583333333334,2.895833333333333,1.123134092103328,0.3063151041666667
