tag,campaign,stage,source,P,H,F,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,fill
rectangle,paper,baseline,analytic,226.0,170.0,0.229228213429451,0.10264260321855545,0.44675812125205994,0.6759864091873169,0.22137099504470825,0.22922824323177338,0.8925703167915344,0.7451784610748291,-289.08990478515625,109.08990478515625,0.0005019246600568295,1,0.296630859375
A_P190_H110_s11_g80_o7,rtfree,coarse,final,190.0,110.0,0.006519949529320002,0.5268598198890686,0.2673998475074768,0.27391988039016724,0.19922029972076416,0.006519996095448732,0.5460197925567627,0.49970191717147827,17.03237533569336,162.96762466430664,0.00048621761379763484,1,0.443125
A_P190_H140_s11_g80_o7,rtfree,coarse,final,190.0,140.0,0.09568282961845398,0.6060163378715515,0.16072027385234833,0.2564031481742859,0.1375805139541626,0.09568285942077637,0.24189326167106628,0.6740131974220276,-66.49017333984375,113.50982666015625,0.0004554934857878834,1,0.315625
A_P190_H170_s11_g80_o7,rtfree,coarse,final,190.0,170.0,0.13179230690002441,0.5468665957450867,0.1934465616941452,0.3252389132976532,0.12789446115493774,0.1317923367023468,0.26666924357414246,0.7611604332923889,-72.31713104248047,107.68286895751953,0.00042988694622181356,1,0.291875
A_P190_H200_s11_g80_o7,rtfree,coarse,final,190.0,200.0,0.09994232654571533,0.6185919642448425,0.15642079710960388,0.25636380910873413,0.12504422664642334,0.09994298219680786,0.22363433241844177,0.680229902267456,291.7936706542969,111.79367065429688,0.0016281548887491226,1,0.25625
A_P190_H230_s11_g80_o7,rtfree,coarse,final,190.0,230.0,0.0031945158261805773,0.8509131669998169,0.07219076156616211,0.07538530230522156,0.07370150089263916,0.0031945277005434036,0.2138209491968155,0.32411593198776245,-5.3909592628479,174.6090407371521,0.00027235879679210484,1,0.180625
A_P190_H260_s11_g80_o7,rtfree,coarse,final,190.0,260.0,0.001574182533659041,0.8774797916412354,0.05219389498233795,0.053768090903759,0.06875211000442505,0.0015741854440420866,0.1909167319536209,0.26662129163742065,-6.042121887207031,173.95787811279297,0.000371320522390306,1,0.154375
A_P208_H110_s11_g80_o7,rtfree,coarse,final,208.0,110.0,0.03735063225030899,0.4730938971042633,0.27219292521476746,0.3095436096191406,0.21736249327659607,0.03735066577792168,0.6186332702636719,0.4861892759799957,38.666481018066406,141.3335189819336,0.0003866944171022624,1,0.39625
A_P208_H140_s11_g80_o7,rtfree,coarse,final,208.0,140.0,0.17808404564857483,0.30996671319007874,0.3288414180278778,0.5069254636764526,0.18310782313346863,0.17808404564857483,0.8583457469940186,0.5263967514038086,70.50897216796875,109.49102783203125,0.00023502975818701088,1,0.33875
A_P208_H170_s11_g80_o7,rtfree,coarse,final,208.0,170.0,0.22899015247821808,0.3373568058013916,0.26333168148994446,0.4923219680786133,0.17032122611999512,0.22899019718170166,0.8636274337768555,0.488662987947464,-274.6675109863281,94.66751098632812,0.0003955238498747349,1,0.310625
A_P208_H200_s11_g80_o7,rtfree,coarse,final,208.0,200.0,0.15100735425949097,0.5597984194755554,0.15073633193969727,0.3017437756061554,0.13845783472061157,0.15100742876529694,0.21780529618263245,0.7456863522529602,269.9043884277344,89.90438842773438,0.0005135019891895354,1,0.23625
