tag,branch,P,H,seed,iters,stage,lossless,order_opt,runtime_s,lamT,lamCo,sha256_rho,F,Faf,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,min_si_nm,min_gap_nm,edge_clear_nm,fill
D2_P400_H170_multi7,D2,400.0,170.0,multi7,110,ceiling_largeP,False,9,681.1044392585754,2.0,2.0,518aa6b7cb21058c6e8af9079c390dbbe68d42df14f7f4c4f594cee9c2ed0aac,0.6767581701278687,0.6767580509185791,0.006760214921087,0.0002933057548943,0.6770514249801636,0.3161883652210235,0.6767580509185791,0.8397775888442993,0.8055287003517151,-180.0337677001953,0.0337677001953125,2.473667700542137e-05,1,104.16666666666669,4.166666666666667,1.075762880472979,0.4105902777777778
D2_P330_H170_warm~-home-uad7868eb,D2,330.0,170.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,150,ceiling_largeP,False,9,1128.3059253692627,3.2,2.0,80dc66ebbf49d76eaa0d9bf38e662347df0fc5261b06c6801230de8f59e2c866,0.6355318427085876,0.6355319619178772,0.0107716880738735,0.0265339165925979,0.662065863609314,0.3271624445915222,0.6355319023132324,0.7737025618553162,0.8517723083496094,157.5328369140625,22.4671630859375,4.157126386417076e-05,5,24.0625,113.4375,5.277575759231411,0.2703993055555556
D2_P330_H230_warm~-home-uad7868eb,D2,330.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,ceiling_largeP,False,9,835.1265153884888,3.2,2.0,f5beab183a165fcaafb2cf7f79d83cea1ca0b28b788b029938e28f9241b44e12,0.6242552399635315,0.624255359172821,0.0318045727908611,0.0013584953267127,0.625613808631897,0.3425816297531128,0.6242552995681763,0.8207107782363892,0.7600404620170593,183.03782653808597,3.037826538085937,0.000165819103131,3,17.1875,3.4375,3.6537109178199785,0.2612847222222222
D2_P278_H260_warm~-home-u792a7aca,D2,278.0,260.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/rect.npy,110,ceiling_theta0,False,7,198.13236618041992,13.107200000000004,8.192000000000002,7a201d20bbfcb05b699e2b9605babd0550b0c3eaf89253948469a372543775d8,0.6174317598342896,0.6174317598342896,0.0084284869953989,0.0024985782802104,0.6199303865432739,0.3716411292552948,0.6174318194389343,0.8113663792610168,0.7625911831855774,186.3596649169922,6.359664916992188,9.774926002137364e-05,3,14.479166666666668,2.895833333333333,2.7721016349211283,0.3033854166666667
D2_P300_H170_warm~-home-uad7868eb,D2,300.0,170.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,150,ceiling_largeP,False,9,714.1278579235077,2.0,5.120000000000001,25b9ab9aa1ce82c58487be32beb9f0bf787f16da2527d2b43bbdf4621805ddfa,0.6052769422531128,0.6052769422531128,0.0102311894297599,0.0096170958131551,0.6148940324783325,0.3748747706413269,0.6052769422531128,0.7164034247398376,0.8464952707290649,-190.81544494628903,10.815444946289062,0.0003067763173021,3,21.875,3.125,1.518230411415345,0.3224826388888889
D2_P300_H170_multi7,D2,300.0,170.0,multi7,150,ceiling_largeP,False,9,701.449770450592,2.0,2.0,d9f95caa4043105df5be5d94edba4bba1da605cff4cd4cbc88a38b415b0c7619,0.5898662209510803,0.5898662209510803,0.0211081001907587,0.0049611181020736,0.59482741355896,0.3840644955635071,0.5898662209510803,0.7094130516052246,0.8284853100776672,185.6280059814453,5.6280059814453125,2.4959326765383597e-05,1,121.875,15.625,4.552303345363754,0.4071180555555556
D2_P278_H230_warm~-home-ue54944fa,D2,278.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,147.77914810180664,8.192000000000002,2.0,dfa544a1c384c556e1728ac914fa94af242e2aac4185d44084bf66b0503eca71,0.5854637622833252,0.5854637622833252,0.0100513538345694,0.0056893345899879,0.5911532044410706,0.3987954556941986,0.5854637622833252,0.6933202147483826,0.8376237154006958,176.69325256347656,3.306747436523437,0.000155141329742,1,60.8125,78.1875,9.166423825547028,0.2521701388888889
D2_P272_H230_warm~-home-ue54944fa,D2,272.0,230.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,150.172443151474,8.192000000000002,2.0,90c4472b57c01ef838f508cddffe37b79951ae6c60a8601f04aa7493631d2970,0.5799674987792969,0.5799675583839417,0.0068237925879657,0.0075241159647703,0.5874916911125183,0.4056845307350158,0.5799675583839417,0.6833200454711914,0.8414613008499146,185.3916015625,5.3916015625,0.0002281088673043,1,65.16666666666667,76.5,7.083790539810451,0.2690972222222222
D2_P278_H200_warm~-home-ue54944fa,D2,278.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy,110,ceiling_theta0,False,7,142.73486590385437,2.0,2.0,432ab4ff4e855ba9ec02fbfc3b396c3e1198037e1f531b963a1185c2d1ab78ee,0.5698121786117554,0.5698121786117554,0.0108484653756022,0.0154694598168134,0.5852816700935364,0.4038698673248291,0.5698121786117554,0.6908438205718994,0.8326452970504761,164.51332092285156,15.486679077148438,5.5773034546291456e-05,1,89.77083333333334,78.1875,9.532136780363343,0.2634548611111111
D2_P278_H200_mix~-home-usb24cd6c1,D2,278.0,200.0,mix:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/newA.npy+/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldB.npy,110,ceiling_theta0,False,7,184.56617879867557,2.0,2.0,e72d73a1858baa9e18623a71f42075a2078b1c140e93048287bf5c213803f7c1,0.565791666507721,0.5657916069030762,0.0120004070922732,0.0171416420489549,0.5829333066940308,0.4050662815570831,0.5657916069030762,0.6936635375022888,0.8274645209312439,162.91429138183594,17.085708618164062,7.921300129964948e-05,1,101.35416666666669,95.5625,6.495518517791084,0.2612847222222222
D2_P278_H200_warm~-home-u03248b5c,D2,278.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/lowT.npy,110,ceiling_theta0,False,7,189.156435251236,2.0,2.0,4e7caee4ae6f4e4130bf30bcf1ea342da9cc5fb15d0ac50b4adac31fbe3ac8b2,0.5648600459098816,0.5648601055145264,0.015175798907876,0.0200031921267509,0.5848633050918579,0.3999609053134918,0.5648601055145264,0.6990035176277161,0.825300395488739,160.81741333007812,19.182586669921875,4.860287299379706e-05,1,107.14583333333334,89.77083333333334,11.304077816736791,0.2651909722222222
D2_P278_H200_warm~-home-uf6d5e931,D2,278.0,200.0,warm:/home/user/ENZ/rtype_perfectR_campaign/mining/seeds/oldA.npy,110,ceiling_theta0,False,7,185.20243763923645,2.0,2.0,4675bd52e9445b001c777c63310f06b4dedf0da4ea40befb97bd6c26fed14e17,0.5646805763244629,0.5646805763244629,0.0179166458547115,0.0188525803387165,0.5835331678390503,0.3985501825809479,0.5646805763244629,0.703269362449646,0.820047914981842,161.1635284423828,18.836471557617188,9.409468475496396e-05,1,107.14583333333334,95.5625,11.826166299738643,0.2621527777777778
D2_P330_H230_multi7,D2,330.0,230.0,multi7,150,ceiling_largeP,False,9,704.504025220871,8.192000000000002,8.192000000000002,6a72713fb6ddc6186396c46aba8b4ec405061ed84d98a781a65548660b9b4511,0.5631567239761353,0.56315678358078,0.036252386868,0.0244218185544013,0.587578535079956,0.3761690855026245,0.5631567239761353,0.788377046585083,0.7440556287765503,-156.69448852539062,23.30551147460937,0.0001292392116738,5,17.1875,65.3125,12.908810857061267,0.26953125
