board,tag,campaign,stage,source,P,H,F,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,fill,min_r
highest R_cross,A_P271_H185_s11_g96_o9,rtfree,refinement,final,271.0,185.0,0.5265929698944092,0.0808537751436233,0.0809525102376937,0.6075456142425537,0.3116006255149841,0.5265929698944092,0.8012959361076355,0.7569781541824341,-222.71836853027344,42.71836853027344,0.0001909116399474,1,0.2582465277777778,0.7569781541824341
highest R_cross,A_P271_H200_s11_g96_o9,rtfree,refinement,final,271.0,200.0,0.5262525081634521,0.0543429367244243,0.0645121335983276,0.5907647609710693,0.3548923134803772,0.5262525081634521,0.7529362440109253,0.7839747071266174,-218.5342712402344,38.534271240234375,0.0003080414317082,1,0.2578125,0.7529362440109253
highest R_cross,A_P271_H200_wideangle,rtfree,finalists,final,271.0,200.0,0.5176423192024231,0.0160992387682199,0.0710991472005844,0.5887415409088135,0.3951592147350311,0.5176423192024231,0.7091600298881531,0.8213251829147339,140.0550994873047,39.94490051269531,0.0002564248279668,1,0.2756076388888889,0.7091600298881531
highest total reflection,B_P213_H140_s11_wf,widefov,coarse,final,213.0,140.0,5.47284544154536e-05,0.0019827005453407,0.843371570110321,0.8434264063835144,0.1545908898115158,5.4731812269892544e-05,0.9183109998703004,0.9184539914131165,0.9230454564094543,179.07695454359057,0.0001158391532953,1,0.4891493055555556,0.9183109998703004
highest total reflection,B_P226_H140_s11_wf,widefov,coarse,final,226.0,140.0,4.36930131400004e-05,0.0004217554815113,0.8264197707176208,0.826463520526886,0.1731147170066833,4.36959344369825e-05,0.9100069999694824,0.9081928730010986,0.8253191113471985,179.1746808886528,0.000109207641799,1,0.4887152777777778,0.9081928730010986
highest total reflection,B_P239_H140_s11_wf,widefov,coarse,final,239.0,140.0,0.059610765427351,0.0070727299898862,0.7606032490730286,0.8202141523361206,0.1727131158113479,0.0596107691526412,0.9166997075080872,0.8944774866104126,-328.7490234375,148.7490234375,7.417710003210232e-05,1,0.3780381944444444,0.8944774866104126
"largest min(|r_x|,|r_y|)",B_P213_H140_s11_wf,widefov,coarse,final,213.0,140.0,5.47284544154536e-05,0.0019827005453407,0.843371570110321,0.8434264063835144,0.1545908898115158,5.4731812269892544e-05,0.9183109998703004,0.9184539914131165,0.9230454564094543,179.07695454359057,0.0001158391532953,1,0.4891493055555556,0.9183109998703004
"largest min(|r_x|,|r_y|)",B_P226_H140_s11_wf,widefov,coarse,final,226.0,140.0,4.36930131400004e-05,0.0004217554815113,0.8264197707176208,0.826463520526886,0.1731147170066833,4.36959344369825e-05,0.9100069999694824,0.9081928730010986,0.8253191113471985,179.1746808886528,0.000109207641799,1,0.4887152777777778,0.9081928730010986
"largest min(|r_x|,|r_y|)",B_P239_H140_s11_wf,widefov,coarse,final,239.0,140.0,0.059610765427351,0.0070727299898862,0.7606032490730286,0.8202141523361206,0.1727131158113479,0.0596107691526412,0.9166997075080872,0.8944774866104126,-328.7490234375,148.7490234375,7.417710003210232e-05,1,0.3780381944444444,0.8944774866104126
smallest transmission,A_P271_H200_wideangle,rtfree,finalists,final,271.0,200.0,0.5176423192024231,0.0160992387682199,0.0710991472005844,0.5887415409088135,0.3951592147350311,0.5176423192024231,0.7091600298881531,0.8213251829147339,140.0550994873047,39.94490051269531,0.0002564248279668,1,0.2756076388888889,0.7091600298881531
smallest transmission,A_P252_H185_s11_wf,widefov,coarse,final,252.0,185.0,0.3424932360649109,0.0287893190979957,0.3128297924995422,0.6553230285644531,0.3158876597881317,0.3424932360649109,0.8014190196990967,0.8175411820411682,-267.40509033203125,87.40509033203125,0.0001410162076354,1,0.2608506944444444,0.8014190196990967
smallest transmission,A_P252_H170_s11_wf,widefov,coarse,final,252.0,170.0,0.3038906157016754,0.0362371057271957,0.409090518951416,0.7129812240600586,0.2507816553115845,0.3038906753063202,0.8778950572013855,0.8094828724861145,-278.5130920410156,98.51309204101562,0.0005090201739221,1,0.2643229166666667,0.8094828724861145
smallest R_co,B_P271_H215_s11_g96_o9,rtfree,refinement,final,271.0,215.0,0.5046793818473816,0.0568770505487918,0.0046112113632261,0.5092907547950745,0.4338321983814239,0.5046794414520264,0.6885079145431519,0.7379283905029297,169.81817626953125,10.18182373046875,0.0001176646619569,1,0.2604166666666667,0.6885079145431519
smallest R_co,B_P271_H230_s11_g96_o9,rtfree,refinement,final,271.0,230.0,0.4251020550727844,0.1247497648000717,0.0053088031709194,0.4304109215736389,0.4448392987251282,0.4251021146774292,0.6818212866783142,0.6292387247085571,191.90956115722656,11.909561157226562,0.0005046689184382,1,0.2486979166666666,0.6292387247085571
smallest R_co,B_P262_H230_s11_g96_o9,rtfree,refinement,final,262.0,230.0,0.4059450626373291,0.1701039522886276,0.011879451572895,0.4178246259689331,0.4120714068412781,0.4059450626373291,0.6996170878410339,0.5883748531341553,-196.8011932373047,16.801193237304688,0.0005586179322563,1,0.2491319444444444,0.5883748531341553
smallest absorption,B_P239_H170_s11_wf,widefov,coarse,final,239.0,170.0,0.3082106709480285,0.3758015632629394,0.1647735238075256,0.472984254360199,0.1512141823768615,0.3082106709480285,0.376729667186737,0.8966845870018005,244.8739013671875,64.8739013671875,0.0001024220109684,1,0.2469618055555555,0.376729667186737
smallest absorption,B_P252_H155_s11_wf,widefov,coarse,final,252.0,155.0,0.3302425444126129,0.3454255759716034,0.1650858670473098,0.4953284859657287,0.1592459380626678,0.3302425742149353,0.4372310042381286,0.89413982629776,245.01036071777344,65.01036071777344,8.398256613872945e-05,1,0.2408854166666666,0.4372310042381286
