theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.29477614164352417,0.24253763258457184,0.27979010343551636,0.18289609253406525
0.0,45.0,0.29477614164352417,0.24253763258457184,0.27979010343551636,0.18289609253406525
0.0,90.0,0.29477614164352417,0.24253763258457184,0.27979010343551636,0.18289609253406525
15.0,0.0,0.3038652837276459,0.2182411253452301,0.2827497124671936,0.1951439082622528
15.0,45.0,0.30445346236228943,0.22794389724731445,0.27843421697616577,0.18916834890842438
15.0,90.0,0.3048984408378601,0.23650133609771729,0.2751350700855255,0.18346521258354187
30.0,0.0,0.29852306842803955,0.13359442353248596,0.33802616596221924,0.22985625267028809
30.0,45.0,0.3205265998840332,0.18537257611751556,0.2869584858417511,0.20714226365089417
30.0,90.0,0.337142676115036,0.21644780039787292,0.26063472032546997,0.1857748031616211
45.0,0.0,0.20963454246520996,0.030936814844608307,0.5042040348052979,0.2552245855331421
45.0,45.0,0.31760507822036743,0.12602603435516357,0.3237866163253784,0.2325822412967682
45.0,90.0,0.39625245332717896,0.1791757047176361,0.23261627554893494,0.19195550680160522
60.0,0.0,0.15217790007591248,0.0018891075160354376,0.6015352606773376,0.24439772963523865
60.0,45.0,0.30003416538238525,0.07307317852973938,0.3734385073184967,0.25345414876937866
60.0,90.0,0.48978567123413086,0.1233111321926117,0.185960590839386,0.20094260573387146
75.0,0.0,0.307478129863739,0.001975551713258028,0.4987199306488037,0.19182635843753815
75.0,45.0,0.3615974187850952,0.032792069017887115,0.3671136498451233,0.2384967803955078
75.0,90.0,0.6467397212982178,0.052595168352127075,0.11983281373977661,0.18083223700523376
80.0,0.0,0.4494675099849701,0.001509015797637403,0.3969481289386749,0.15207520127296448
80.0,45.0,0.4486793279647827,0.020005177706480026,0.3224078416824341,0.20890766382217407
80.0,90.0,0.7338545322418213,0.028507446870207787,0.0905345231294632,0.14710350334644318
