theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.15117275714874268,0.1594802737236023,0.5093347430229187,0.18001215159893036
0.0,45.0,0.15117275714874268,0.1594802737236023,0.5093347430229187,0.18001215159893036
0.0,90.0,0.15117275714874268,0.1594802737236023,0.5093347430229187,0.18001215159893036
15.0,0.0,0.16081957519054413,0.15881553292274475,0.5024660229682922,0.1778988242149353
15.0,45.0,0.1615198850631714,0.15783441066741943,0.4976049065589905,0.1830407679080963
15.0,90.0,0.16302837431430817,0.15637744963169098,0.4920791685581207,0.18851494789123535
30.0,0.0,0.19318833947181702,0.15357129275798798,0.4828087389469147,0.17043158411979675
30.0,45.0,0.19228026270866394,0.1496187150478363,0.4666617214679718,0.19143930077552795
30.0,90.0,0.1998046338558197,0.14249849319458008,0.43998774886131287,0.21770906448364258
45.0,0.0,0.25909847021102905,0.13493704795837402,0.45107802748680115,0.15488645434379578
45.0,45.0,0.2383306324481964,0.12904340028762817,0.43102771043777466,0.20159819722175598
45.0,90.0,0.24765226244926453,0.09954757988452911,0.391391396522522,0.26140880584716797
60.0,0.0,0.38069990277290344,0.0948851928114891,0.3979373872280121,0.12647747993469238
60.0,45.0,0.2920921742916107,0.09556160867214203,0.40834081172943115,0.20400536060333252
60.0,90.0,0.26375365257263184,0.043045029044151306,0.4366181492805481,0.25658315420150757
75.0,0.0,0.6011837720870972,0.03802153468132019,0.2821439206600189,0.07865078002214432
75.0,45.0,0.40303346514701843,0.0489393025636673,0.3732792139053345,0.17474791407585144
75.0,90.0,0.3933422565460205,0.01504766009747982,0.4114835858345032,0.1801263839006424
80.0,0.0,0.7088780403137207,0.019923347979784012,0.214573934674263,0.056624628603458405
80.0,45.0,0.49421554803848267,0.02999718487262726,0.32953158020973206,0.14625558257102966
80.0,90.0,0.5163960456848145,0.008639564737677574,0.33756762742996216,0.13739672303199768
