theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.3811500668525696,0.18813559412956238,0.13913415372371674,0.2915801405906677
0.0,45.0,0.3811500668525696,0.18813559412956238,0.13913415372371674,0.2915801405906677
0.0,90.0,0.3811500668525696,0.18813559412956238,0.13913415372371674,0.2915801405906677
15.0,0.0,0.4068312644958496,0.1346513032913208,0.14155611395835876,0.3169613480567932
15.0,45.0,0.3937351703643799,0.16429486870765686,0.13064031302928925,0.3113296627998352
15.0,90.0,0.3785477876663208,0.19565314054489136,0.12299246340990067,0.302806556224823
30.0,0.0,0.40168339014053345,0.025316420942544937,0.20079262554645538,0.37220752239227295
30.0,45.0,0.40592652559280396,0.1018713116645813,0.12062791734933853,0.3715742230415344
30.0,90.0,0.3482612371444702,0.22044909000396729,0.07234467566013336,0.3589450716972351
45.0,0.0,0.31324273347854614,0.0032874129246920347,0.28165996074676514,0.4018098711967468
45.0,45.0,0.3851756453514099,0.03871512413024902,0.12492432445287704,0.45118483901023865
45.0,90.0,0.14645108580589294,0.24530482292175293,0.11625175178050995,0.4919922351837158
60.0,0.0,0.291069895029068,0.016871515661478043,0.2507651746273041,0.4412934184074402
60.0,45.0,0.40761902928352356,0.008516687899827957,0.1185736432671547,0.4652906060218811
60.0,90.0,0.18768033385276794,0.08159510791301727,0.4395039677619934,0.2912205755710602
75.0,0.0,0.3466719388961792,0.047044895589351654,0.11622282862663269,0.49006029963493347
75.0,45.0,0.5905859470367432,0.0012729738373309374,0.07962319254875183,0.3285178542137146
75.0,90.0,0.5938132405281067,0.013538127765059471,0.28729739785194397,0.10535120964050293
80.0,0.0,0.46393221616744995,0.04455578327178955,0.08114702999591827,0.41036495566368103
80.0,45.0,0.69736248254776,0.0005515571101568639,0.05837194621562958,0.2437138706445694
80.0,90.0,0.7189077138900757,0.00611908920109272,0.20473206043243408,0.0702410638332367
