theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.3357279300689697,0.17272484302520752,0.2623889446258545,0.22915826737880707
0.0,45.0,0.3357279300689697,0.17272484302520752,0.2623889446258545,0.22915826737880707
0.0,90.0,0.3357279300689697,0.17272484302520752,0.2623889446258545,0.22915826737880707
15.0,0.0,0.35807502269744873,0.13170543313026428,0.2547164559364319,0.2555031180381775
15.0,45.0,0.35064470767974854,0.15216925740242004,0.2537379562854767,0.24344798922538757
15.0,90.0,0.3429996371269226,0.17002460360527039,0.2551001310348511,0.23187553882598877
30.0,0.0,0.3362870216369629,0.028765492141246796,0.3204568326473236,0.3144906461238861
30.0,45.0,0.36956751346588135,0.09458985924720764,0.2515738904476166,0.28426873683929443
30.0,90.0,0.3627278804779053,0.16098427772521973,0.23279395699501038,0.24349382519721985
45.0,0.0,0.21606464684009552,0.0022083884105086327,0.46211040019989014,0.31961652636528015
45.0,45.0,0.3407873213291168,0.03414206951856613,0.2886251211166382,0.33644548058509827
45.0,90.0,0.3922230899333954,0.14255642890930176,0.19229501485824585,0.272925466299057
60.0,0.0,0.20355989038944244,0.01616106554865837,0.48632580041885376,0.2939532399177551
60.0,45.0,0.29605722427368164,0.00642954558134079,0.32933175563812256,0.3681814670562744
60.0,90.0,0.393409788608551,0.117494598031044,0.14110131561756134,0.34799420833587646
75.0,0.0,0.39442697167396545,0.011826020665466785,0.3681764006614685,0.22557060420513153
75.0,45.0,0.37921133637428284,0.00076911854557693,0.29416072368621826,0.32585883140563965
75.0,90.0,0.3738018274307251,0.07111729681491852,0.15671265125274658,0.398368239402771
80.0,0.0,0.5331407189369202,0.007100213319063187,0.2836304008960724,0.17612871527671814
80.0,45.0,0.4825994074344635,0.0003611898864619434,0.2445099651813507,0.2725294232368469
80.0,90.0,0.4597524404525757,0.04210346192121506,0.16241368651390076,0.3357304334640503
