tag,R_cross0,theta_50,theta_20,theta_dom,Rc_omega_085,Rc_mean_085,Rc_min_085,theta_worst,phi_worst,co_mean,co_max,T_mean,T_max,A_mean,A_max
A_P239_H170_s11_wf,0.3316077888011932,45.0,40.0,25.0,0.3624915335149217,0.3494589321670078,0.1376076638698578,55.0,0.0,0.11252173367150438,0.2229509502649307,0.3007876453182054,0.5916702747344971,0.2372316610482004,0.3841336965560913
A_P239_H200_s11_wf,0.3135576844215393,85.0,85.0,85.0,0.4013600666148646,0.37497580382559037,0.2044424414634704,70.0,90.0,0.056989823562270434,0.1159959882497787,0.24318199391875947,0.3387662172317505,0.3248523486157258,0.5084584355354309
A_P258_H200_s11_wf,0.3748573362827301,45.0,40.0,45.0,0.44782631429455416,0.4200825516193632,0.0766414999961853,55.0,90.0,0.05107054748066091,0.16483174264431,0.1821457738914187,0.4850189089775085,0.3467011002321092,0.5341967940330505
B_P239_H170_s11_wf,0.3261440992355346,35.0,35.0,20.0,0.37248512190998145,0.3517546461569884,0.0760497450828552,55.0,90.0,0.07628878737338549,0.1705206334590912,0.3938064291954987,0.6948679685592651,0.1781501111293596,0.2392542064189911
B_P252_H185_s47_wf,0.3800078630447387,50.0,50.0,25.0,0.39800273990499024,0.3866875473232496,0.15591461956501,55.0,0.0,0.09072285594274511,0.2647234201431274,0.24955821746871584,0.4695874750614166,0.27303134880605195,0.4460668265819549
bare,0.0,85.0,-1.0,-1.0,0.13489435026994467,0.08527059254701104,0.0,0.0,0.0,0.029714953838034477,0.0345957018435001,0.8850144590177234,0.9654043316841124,-1.0998476119268509e-08,1.3560056686401367e-06
film0.301_P226_H170,0.0,85.0,-1.0,-1.0,0.1489116679333812,0.09484841100205745,0.0,0.0,0.0,0.2277201618407927,0.3076618313789367,0.5856678173655555,0.6315843462944031,0.09176359024076232,0.1011701822280883
oldA,0.5261819958686829,10.0,15.0,15.0,0.2560740292890318,0.28130667480743593,0.01496990211308,55.0,75.0,0.13609020502935026,0.3155722618103027,0.18567433768498992,0.5456445217132568,0.39692875399949057,0.5220508575439453
oldB,0.5048537254333496,10.0,15.0,15.0,0.24398242828999106,0.2716522118342774,0.0161759667098522,55.0,90.0,0.11090293881208042,0.3669568598270416,0.17526949520799373,0.4690719842910766,0.44217532920458963,0.5661500692367554
rectangle,0.22882746160030362,55.0,40.0,-1.0,0.3011866332306047,0.2760449034708833,0.0977589711546897,60.0,90.0,0.2934256746666506,0.4958102703094482,0.1491842786707575,0.3997601568698883,0.28134509755505455,0.4985953569412231
