tag,theta,phi,pol,f_ED,f_MD,f_EQ,f_MQ,px_in_ED,py_in_ED,pz_in_ED,mx_in_MD,my_in_MD,mz_in_MD,dominant
rectangle,0.0,0.0,p,0.5635458591054445,0.41826005562952323,0.015323181522590924,0.0028709037424413373,0.9994332764021577,3.0198264983033023e-07,0.0005664216151925668,2.818383881211577e-09,0.9999376734635158,6.232371810034399e-05,ED
rectangle,0.0,0.0,s,0.3160364579722103,0.6807175476648224,0.002206307595210204,0.0010396867677570382,8.882915956980639e-07,0.9857891762258694,0.014209935482535076,0.9999924139508469,5.576213964345976e-09,7.580472939067906e-06,MD
rectangle,0.0,45.0,p,0.45494507332612555,0.5334962031738868,0.009502488237471808,0.002056235262515902,0.690770974941055,0.3027300565324153,0.006498968526529796,0.5631585251530846,0.43683006016037595,1.1414686539626216e-05,MD
rectangle,0.0,45.0,s,0.45336484957026896,0.5350186308345833,0.009549592553071915,0.002066927042075813,0.6933499190277037,0.3036346583413753,0.0030154226309209377,0.5630774370205673,0.4368709891402401,5.157383919273214e-05,MD
rectangle,20.0,0.0,p,0.6464492509710903,0.3298259994082296,0.020627424049705335,0.0030973255709749793,0.7933911108435215,3.3699913266620863e-06,0.20660551916515166,2.750086257466949e-05,0.9998995017922508,7.299734517453217e-05,ED
rectangle,20.0,0.0,s,0.2560940512102148,0.7400135305035695,0.002790669113882088,0.0011017491723334999,0.0021068112296075124,0.98136170018747,0.016531488582922447,0.8851395787617656,4.2866172093599075e-07,0.11485999257651335,MD
rectangle,20.0,45.0,p,0.48760908610971154,0.49951411843167276,0.010807168281773263,0.0020696271768424106,0.660497052377467,0.2354378631973128,0.1040650844252201,0.5605306518266713,0.3962337596402458,0.043235588533082916,MD
rectangle,20.0,45.0,s,0.4531675007798023,0.5338488865033963,0.010907954751719084,0.002075657965082206,0.6523274941923771,0.2698546843880885,0.07781782141953428,0.5621632420623544,0.4019568704828397,0.03587988745480587,MD
rectangle,40.0,0.0,p,0.8428933280589752,0.1250417954738292,0.028399397657293542,0.0036654788099020337,0.5176829960503547,6.866413756666564e-06,0.48231013753588853,0.0002173072478685399,0.9996124815310453,0.00017021122108595838,ED
rectangle,40.0,0.0,s,0.12864850411953663,0.8655949677010666,0.004512230602408393,0.0012442975769885213,0.01296082535356337,0.9579246202973374,0.029114554349099122,0.6937075973036947,8.161101749630543e-08,0.3062923210852878,MD
rectangle,40.0,45.0,p,0.5752912142441498,0.41023835356532756,0.012468823213593484,0.002001608976928954,0.5946556541645177,0.11937347192168178,0.2859708739138003,0.5500430889568729,0.29566869412214675,0.15428821692098024,ED
rectangle,40.0,45.0,s,0.44091528798624535,0.5438391314316051,0.013110385235403442,0.002135195346746164,0.5251534204866067,0.1858169004205673,0.28902967909282595,0.5651099352699732,0.28799758199548936,0.14689248273453753,MD
rectangle,60.0,0.0,p,0.95012197207709,0.017286261940931916,0.02858672212983344,0.004005043852144617,0.4701306169568244,4.828657970253017e-06,0.5298645543852053,0.0017306197185162182,0.9966837662212177,0.001585614060265982,ED
rectangle,60.0,0.0,s,0.029301079944822877,0.962776529264976,0.006590347910778245,0.001332042879422802,0.0903082708879039,0.8045498690978734,0.10514186001422265,0.5428467020910512,3.5695913834497893e-07,0.45715294094981046,MD
rectangle,60.0,45.0,p,0.6608860491423497,0.3244568774329815,0.012769243358022892,0.001887830066645913,0.5533759468958434,0.060160851014446494,0.38646320208971013,0.5302905904353777,0.20024462634298665,0.2694647832216357,ED
rectangle,60.0,45.0,s,0.42053593142184464,0.5660664487980499,0.01142200428243191,0.001975615497673579,0.3315110557979004,0.10150885836482987,0.5669800858372697,0.576656211385623,0.1526892693660139,0.2706545192483632,MD
rectangle,75.0,0.0,p,0.9669196933979799,0.0017325501341099569,0.02727113497234752,0.004076621495562581,0.49235982039587156,1.0780585805361847e-05,0.5076293990183232,0.01877862739925652,0.9728355705876104,0.008385802013132946,ED
rectangle,75.0,0.0,s,0.02799398608799144,0.963194831353762,0.007455134004316196,0.0013560485539302815,0.10866622754775015,0.7981916671625318,0.0931421052897181,0.46726573337179605,2.301029673079348e-07,0.5327340365252367,MD
rectangle,75.0,45.0,p,0.7001151429815841,0.2856619471050306,0.012402002419206545,0.0018209074941786879,0.5335964603939861,0.04314789447747775,0.42325564512853614,0.5201251687062995,0.15822605288178443,0.3216487784119159,ED
rectangle,75.0,45.0,s,0.4139572631640273,0.5757366377518869,0.00859566151582929,0.0017104375682563966,0.23583170308212098,0.0698954991563448,0.6942727977615342,0.5902393807209317,0.08998197837210452,0.31977864090696395,MD
