tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross0,R_co0,pb_phase_err_deg0,abs_rx0,abs_ry0,Rc_mean,Rc_min,Rc_soft,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,T_max,A_mean,A_max,theta_worst,phi_worst,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,score,fab_ok
A_P226_H140_s11_wf,A,226.0,140.0,11,80,96,7,9,coarse,22.6,90.4,1034.462040424347,68f6faa9ae22182cd114420b72392d04b9bbbc82e4f7f467afe07265101dc998,0.2430181801319122,0.2758764922618866,94.30421447753906,0.8920714259147644,0.4924102425575256,0.3298465112845103,0.0780777335166931,0.2624894409352392,0.1872727006673812,0.332188327239419,0.15986231275435,0.2760487198829651,0.3214665154616038,0.6316884756088257,0.1888246351764315,0.2466498613357544,60.0,0.0,0.5177035671798298,0.4780240374338897,0.0040825665594933,0.0001898288267871,0.9991397336971848,1.11228126832402e-08,0.9999299440584656,0.3973684541717321,0.59653707680732,0.005759172786977,0.0003352962339707,9.431338876934696e-06,0.999993530835804,9.72301209892563e-08,1,1,91.8125,2.3541666666666665,89.03917701440629,1.360822985593714,0.3020833333333333,0.35261154741283035,False
A_P226_H170_s11_wf,A,226.0,170.0,11,80,96,7,9,coarse,22.6,90.4,1079.0973026752472,d75f79be34f48c0552ec4633d89d73c71deaae242c92b4efd815a36779dfe822,0.2948004305362701,0.2425162494182586,83.61199188232422,0.893635094165802,0.525398850440979,0.3603354479585375,0.1521779000759124,0.3141365050747821,0.2492281734943389,0.3590166121645283,0.1246433551478687,0.2425376325845718,0.3132574693078086,0.6015352606773376,0.2017636966137659,0.2552245855331421,60.0,0.0,0.5343961729339135,0.4531153439655456,0.0100953653308043,0.0023931177697365,0.9990787247066426,3.303079661873952e-08,0.999925951386884,0.3691299700470943,0.6204579457609757,0.0094739365768576,0.0009381476150722,5.750771420690053e-06,0.999995425953979,1.4522472232741215e-09,1,1,87.10416666666666,44.72916666666666,87.2789631269408,3.121036873059211,0.2816840277777778,0.45967514854373165,True
A_P226_H155_s11_wf,A,226.0,155.0,11,80,96,7,9,coarse,22.6,90.4,1035.0322756767273,250041e509b8de6640fd5d1cc3ec2fdac2bd8130d7421f5e649e7ef02be46fb3,0.2766103148460388,0.2758339345455169,89.90166473388672,0.9047808051109314,0.5351336598396301,0.3466200459571111,0.1131813377141952,0.2907026551417001,0.220868307352066,0.3454746760769316,0.1506706477985495,0.2758336663246155,0.3056387862279301,0.6249008178710938,0.1970704964229039,0.2511628270149231,60.0,0.0,0.538460347505631,0.4542487423010346,0.0065722575574828,0.0007186526358516,0.9991170179974104,1.4916660877904834e-08,0.9999360430411444,0.3533962582534052,0.6368702369152972,0.0092114050505319,0.0005220997807655,7.418848151371335e-06,0.9999953649321262,1.5639956434948499e-09,1,1,87.10416666666666,2.3541666666666665,88.22630234429654,2.173697655703464,0.2907986111111111,0.4061705470249113,False
A_P226_H185_s11_wf,A,226.0,185.0,11,80,96,7,9,coarse,22.6,90.4,1090.1811571121216,a00ddb51a318522c77974a4499d81de418873a6a1e2fe8ca8b3af3b0a3c0f198,0.2972977459430694,0.2098029404878616,79.05380249023438,0.8477930426597595,0.5435232520103455,0.3684386944486981,0.2406695336103439,0.3408414529801676,0.2815824240446091,0.3704939343157387,0.1084134946577251,0.209793135523796,0.2763686623601686,0.4868656992912292,0.2467791090408961,0.3139250874519348,60.0,0.0,0.5168727706266432,0.4584024769444673,0.0170027613508286,0.0077219910780608,0.9989140273071744,5.242178442578557e-08,0.9999210817265718,0.35747671894619,0.6301952053855885,0.010520046779693,0.0018080288885284,7.572719469091421e-06,0.9999958109894528,2.2704025521643875e-09,1,1,87.10416666666666,44.72916666666666,85.93514516975706,4.464854830242942,0.2751736111111111,0.543822132273864,True
A_P226_H200_s11_wf,A,226.0,200.0,11,80,96,7,9,coarse,22.6,90.4,1094.77002120018,db79e5886cc32994dba3c93cbc3f135404506cf00fa4f87e0b9d87a14304a0f0,0.2547671496868133,0.1337814033031463,68.82511901855469,0.7651727795600891,0.4375892877578735,0.3619221221833002,0.254716694355011,0.3219239530095119,0.2591948509216308,0.3721501503925728,0.0684125025623611,0.1337701976299286,0.3344623737391971,0.446549654006958,0.2352029766355242,0.2981916666030884,0.0,0.0,0.4396291313814202,0.5260520944121997,0.0179612313411213,0.0163575428652587,0.9982898982933472,6.747461720987564e-08,0.9999403758286712,0.3963352809137552,0.5831385157047071,0.0175803584614798,0.0029458449200576,1.1966867970833167e-05,0.9999952585603124,9.499503952239929e-08,1,1,82.39583333333333,49.4375,82.24435480669445,8.15564519330556,0.2526041666666667,0.5416896975143459,True
A_P200_H170_s11_wf,A,200.0,170.0,11,80,96,7,9,coarse,20.0,80.0,1087.027977228165,f1837eedeb70c8e3f3b26790c970d63db923957798c6473daab449e30aae978d,0.1849233508110046,0.2880410254001617,104.72853088378906,0.8471048474311829,0.4776606559753418,0.307189948502041,0.1723478138446808,0.2478232455067614,0.1835681289434433,0.3213679561722212,0.1887285027298189,0.2878727912902832,0.3324111657483237,0.4759600162506103,0.1716703499356905,0.2626620829105377,60.0,0.0,0.4669013076772798,0.5305014864338676,0.0008251715703904,0.0017720343184621,0.9986387241274692,1.2094083109411888e-10,0.9999665169562536,0.4176729484371243,0.5679774391407167,0.0133297691255041,0.0010198432966547,4.03154314702164e-08,0.9999965721088326,2.268021594549501e-07,1,1,85.41666666666667,2.083333333333333,78.79573187115602,1.204268128843978,0.3177083333333333,0.37622514359767284,False
A_P200_H140_s11_wf,A,200.0,140.0,11,80,96,7,9,coarse,20.0,80.0,1031.579228401184,cb38df1542146bb7a2b585a6ae51f306bd9ec6b153293a082d4c114b0ba51a9c,0.1319996565580368,0.3675625324249267,120.9458236694336,0.8363183736801147,0.547470211982727,0.2421371448962461,0.0349613055586814,0.1605689286179432,0.0846899665892124,0.2538794273126576,0.2713820657559803,0.3675099015235901,0.2821884637787228,0.4090835452079773,0.2042922923962275,0.335047572851181,75.0,0.0,0.4992768130642642,0.5000118570131888,0.0005210000266862,0.0001903298958606,0.9988010064177312,3.952729471955731e-09,0.999968218670661,0.3979542281205768,0.5951378466641791,0.0066104149998403,0.0002975102154036,6.826327652361464e-06,0.9999956550169607,3.27212967268493e-08,1,1,93.75,2.083333333333333,79.12553756180392,0.8744624381960762,0.3528645833333333,0.17585275090406582,False
A_P200_H155_s11_wf,A,200.0,155.0,11,80,96,7,9,coarse,20.0,80.0,1062.7797784805298,b54c43b7d21efca6f2aec0109b93ad8524ea5fc87a7564c234e4882741434dfd,0.1677553802728653,0.330878734588623,111.77548217773438,0.8567396998405457,0.5127217173576355,0.2828379138594582,0.1100675910711288,0.2144464057509374,0.1489742010831833,0.295224059550154,0.2276768499896639,0.3306995630264282,0.3083947900505293,0.4806938767433166,0.1810904177171843,0.2760778069496155,60.0,0.0,0.4778027895648146,0.5208244362520121,0.0007921906862337,0.0005805834969394,0.9987164945015274,4.2832734233796427e-10,0.9999583325881852,0.4237370583031893,0.5672951840207376,0.0084221466999388,0.0005456109761342,2.0106689898129697e-06,0.9999965836205692,9.312736729316209e-08,1,1,89.58333333333334,2.083333333333333,78.79573187115602,1.204268128843978,0.33203125,0.29476294262030506,False
A_P200_H185_s11_wf,A,200.0,185.0,11,80,96,7,9,coarse,20.0,80.0,1109.9615335464478,cd379eb738b262e454df6ab031741707c85d74b60678635f138b5b11004ca4c0,0.1818176060914993,0.2438639998435974,99.74210357666016,0.8012460470199585,0.4575898945331573,0.3171376337607701,0.181825578212738,0.2600482912353067,0.1857014209032058,0.3354515617032095,0.1559809672513178,0.2438662946224212,0.3456274370352427,0.4148997664451599,0.1812539278041748,0.2644742131233215,0.0,0.0,0.4407858951155098,0.5524906365043162,0.001570777378549,0.0051526910016249,0.9986175526936008,8.07388092746049e-10,0.9999678213678748,0.4150500316593545,0.5651658787453138,0.0177566639550736,0.0020274256402581,6.757964027307152e-06,0.999995677449054,3.139948449063065e-07,1,1,81.25,2.083333333333333,78.79573187115602,1.204268128843978,0.3098958333333333,0.40329528367873757,False
A_P200_H200_s11_wf,A,200.0,200.0,11,80,96,7,9,coarse,20.0,80.0,1134.0458788871765,cfdf45a74c7302599ab4675269f923d7018ea0e7d5a60d6f2acd9d7f3e663b00,0.1538735479116439,0.1704976111650467,93.41107177734376,0.6960723996162415,0.4054192304611206,0.3080913516737166,0.1538250744342804,0.2427035780389988,0.1578624665737152,0.3318089466932293,0.1089404676597388,0.1709227561950683,0.3848641720556077,0.4711089134216308,0.1981039916475614,0.2823240756988525,0.0,0.0,0.3854568155721217,0.5996614051250897,0.0020788472975247,0.0128029320052637,0.998376708788386,6.262715134281558e-10,0.999970662659118,0.4341690501530031,0.5396562957552621,0.0227440474818564,0.0034306066098784,1.3454534970417554e-06,0.9999965994965035,2.893572668411306e-07,1,1,81.25,2.083333333333333,78.40920527732838,1.5907947226716177,0.2986111111111111,0.37799774248818385,False
