tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross0,R_co0,pb_phase_err_deg0,abs_rx0,abs_ry0,Rc_mean,Rc_min,Rc_soft,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,T_max,A_mean,A_max,theta_worst,phi_worst,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill,score,fab_ok
B_P226_H140_s11_wf,B,226.0,140.0,11,80,96,7,9,coarse,22.6,90.4,662.7764904499054,469afd3d5fa0853672d856999651d10e55f52288acd881ebd0abc760f2d4a282,4.361307583167218e-05,0.8263986706733704,179.1765594482422,0.9099825620651244,0.908199429512024,0.2318431680235205,4.347075810073875e-05,0.0932037482003402,0.0004545084993878,0.2702594297115446,0.4363912984374024,0.8264037370681763,0.1373534074130778,0.3189569413661957,0.1944120568888528,0.2982521653175354,0.0,0.0,0.6413252086832658,0.3436477222883612,0.0149396916402725,8.737738810034216e-05,0.9992102359674964,6.718670435361459e-08,0.9994069341738214,0.626540751510905,0.359383776406739,0.0140093486674177,6.61234149381844e-05,3.033662952134691e-06,0.9993809923227728,6.129665253400295e-08,1,1,171.85416666666666,2.3541666666666665,89.41185744483845,0.9881425551615592,0.4887152777777778,0.1121203483264526,False
B_P226_H170_s11_wf,B,226.0,170.0,11,80,96,7,9,coarse,22.6,90.4,699.3072724342346,37a7656cdef27a05a4ab2baaba115b827005b0664456ee2c2b363e1373cd83fd,0.2852341532707214,0.2153533846139907,80.12198638916016,0.4577697515487671,0.889763355255127,0.3544077855490503,0.1173063144087791,0.2974710752363725,0.2272252723574638,0.3526919048669527,0.1053633226824569,0.2153710275888443,0.3629189346517835,0.6568878889083862,0.1773099292601858,0.2436016350984573,60.0,90.0,0.4064873279343827,0.5793588193961012,0.0129678315276902,0.0011860211418256,0.9744637939793898,4.162655204262082e-08,0.9999933568904036,0.5266105952319402,0.4618556104697751,0.009562892894527,0.0019709014037576,2.198645359626516e-06,0.9999308394322046,1.5205649650149305e-08,1,1,87.10416666666666,2.3541666666666665,88.78985436325044,1.6101456367495643,0.2786458333333333,0.4207649145149803,False
B_P226_H155_s11_wf,B,226.0,155.0,11,80,96,7,9,coarse,22.6,90.4,656.6111967563629,ff8c00d27d3ddf5884ceccadb555001ad3b3cfa5316e13f892bbe566f3fb123e,0.1608733534812927,0.6064392924308777,125.63677978515624,0.9110180735588074,0.8390822410583496,0.2470571673696949,0.0591648444533348,0.1900361257346615,0.1132034413516521,0.240613665106461,0.3469256737402507,0.6320949792861938,0.1443856279587461,0.3690892457962036,0.2616314852521533,0.4031844139099121,60.0,90.0,0.5774749503908757,0.4069199077777001,0.0144667716645006,0.0011383701669235,0.999492274182809,2.4571722551545726e-08,0.9998996287508064,0.3466446070283253,0.6521035538680104,0.0004501404738317,0.0008016986298323,1.5917721930580028e-05,0.9999728412629566,4.332439715656586e-09,1,1,96.52083333333331,2.3541666666666665,89.59761635167968,0.8023836483203297,0.3467881944444444,0.19384298029513003,False
B_P226_H185_s11_wf,B,226.0,185.0,11,80,96,7,9,coarse,22.6,90.4,701.7134079933167,a0d1edb2f2cf8709532fa3a5a60ad7f4af68a13ffbadf1cfd0cd03569698a384,0.3008725941181183,0.1730699986219406,71.99022674560547,0.8399679064750671,0.4922664165496826,0.3658117396490914,0.1796986311674118,0.3249768556523517,0.2571554124355316,0.3631051681642885,0.0798355512032728,0.1730470955371856,0.3290221634365263,0.5525873899459839,0.2253305117289225,0.3046238124370575,60.0,0.0,0.5043665723780794,0.4678013176056424,0.0205516880906579,0.0072804219256203,0.999326218547532,3.9382900374027016e-08,0.9999326379228788,0.3672514876716888,0.6149092779948474,0.0156088848525411,0.0022303494809225,7.057431552778761e-06,0.9999943465983387,4.8002322273728496e-08,1,1,82.39583333333333,2.3541666666666665,88.91460307860008,1.485396921399925,0.2799479166666667,0.491777091917473,False
B_P226_H200_s11_wf,B,226.0,200.0,11,80,96,7,9,coarse,22.6,90.4,698.5516459941864,e19aeae6f86ed43df5f12d88b2cd035b71d1e591a1b35b7e50b0a8b193a421db,0.2553183734416961,0.1024253070354461,61.22601318359375,0.7226918339729309,0.4395389556884765,0.3548951588925861,0.2500015497207641,0.3165884776804353,0.2543540000915527,0.3607937889559007,0.0509902054355258,0.1024178266525268,0.3438509362084525,0.4446902275085449,0.2502636817239579,0.3334729671478271,60.0,0.0,0.4183746009283728,0.536593623126923,0.0256759728635447,0.0193558030811594,0.9987639835149476,8.133724002739404e-08,0.9999460070034344,0.3858400700087237,0.5913320401281875,0.0193153145880202,0.0035125752750685,9.876093982603746e-06,0.9999965375376326,8.200689048059524e-08,1,1,82.39583333333333,49.4375,86.897135719082,3.502864280918004,0.2647569444444444,0.5289043149897109,True
B_P200_H170_s11_wf,B,200.0,170.0,11,80,96,7,9,coarse,20.0,80.0,693.6312153339386,b7c5607d26eb46aa37bcb957006da1017f187bec9bd9588a27ed60e41b94a8da,6.369271432049572e-05,0.628720223903656,178.92822265625,0.795845627784729,0.7901012301445007,0.2592851430908056,6.325509457383305e-05,0.0908204883420509,0.0003036630892893,0.3027829846526459,0.4261395914391392,0.6699607372283936,0.0706276796048595,0.1144840344786644,0.2439475346888814,0.3189664483070373,0.0,0.0,0.4776040112250419,0.5037913118270514,0.0092518025199646,0.009352874427942,0.9977506097658928,3.0471974681303256e-08,0.9998942149153316,0.483391021425789,0.4971758697246922,0.0099953387309931,0.0094377701185255,4.152413645102481e-06,0.9998920530202904,4.8253365673218977e-08,1,1,152.08333333333334,2.083333333333333,79.12553756180395,0.8744624381960477,0.4878472222222222,0.16099903039186383,False
B_P200_H140_s11_wf,B,200.0,140.0,11,80,96,7,9,coarse,20.0,80.0,659.7826516628265,77e1f3c9e7a095c94e2242912490fce801487599c51005f89eb4eed57b1af6b4,0.1425703316926956,0.3136409819126129,115.45040130615234,0.4832642078399658,0.8239619135856628,0.2488703486465272,0.0177583135664463,0.163214366166248,0.0799456536769867,0.2609944411215346,0.2334686547872566,0.3136716485023498,0.3244249806517646,0.4233836531639099,0.1932359749362582,0.3380122482776642,75.0,90.0,0.4412697088627826,0.5525576868539477,0.0058910843866409,0.0002815198966287,0.9868875603015668,8.2530825370472e-09,0.999997125719027,0.4991156362122017,0.5002371957955801,0.0004750873231581,0.00017208066906,3.305002071031185e-06,0.9999643630808508,8.830034869098951e-10,1,1,89.58333333333334,2.083333333333333,79.28992597493777,0.7100740250622266,0.3454861111111111,0.17492083217672116,False
B_P200_H155_s11_wf,B,200.0,155.0,11,80,96,7,9,coarse,20.0,80.0,685.2609488964081,6d53f4780f845cc1ce32f468c21c68e40445491aabf027db208bbe700a014df1,6.501490861410275e-05,0.792007565498352,178.97314453125,0.8910537362098694,0.8888651728630066,0.1847737030101208,6.479912553913891e-05,0.0732250343680963,0.0001416078244801,0.2067156504515906,0.5521309162889209,0.7970196008682251,0.0768424478980402,0.218571275472641,0.1862528859859421,0.2506171762943268,0.0,0.0,0.5236597202337303,0.4691502973571139,0.0049107598138549,0.0022792225953008,0.9980900847041876,2.125573569819321e-08,0.9999119133562157,0.541203302837986,0.450995939821318,0.0055520526885355,0.0022487046521604,4.529837009902752e-06,0.9999072025679586,1.7622620747653152e-08,1,1,152.08333333333334,2.083333333333333,79.12553756180395,0.8744624381960477,0.4895833333333333,0.025811089460315906,False
B_P200_H185_s11_wf,B,200.0,185.0,11,80,96,7,9,coarse,20.0,80.0,706.0870273113251,032965dbcf7dc62b6d40934f89c482229d7fa9a94f1106bd93f259e8a587648e,0.0083734905347228,0.4219903349876404,166.1635284423828,0.6075347065925598,0.7011159062385559,0.2842050686789055,0.0044301548041403,0.101201962995806,0.0068875136785209,0.3330864719282197,0.3085847004272398,0.4993520975112915,0.1029497043318336,0.2318601459264755,0.3042604596841903,0.3892683386802673,15.0,90.0,0.351923250286208,0.6102985597063864,0.0125571108940436,0.0252210791133621,0.9969732003839262,7.580860715905973e-08,0.9999383961183872,0.4012474291827925,0.574548080507183,0.0059625362448588,0.0182419540651656,2.877870571524394e-06,0.9999375367721398,4.5761920786293086e-08,1,1,127.08333333333334,2.083333333333333,78.79573187115602,1.204268128843978,0.4422743055555556,0.22557995517501167,False
B_P200_H200_s11_wf,B,200.0,200.0,11,80,96,7,9,coarse,20.0,80.0,728.9757153987885,a10af33965037c10cbfcc661eec24382f7520de5b3278534adb69f5c8988796b,0.1511934250593185,0.1594700366258621,91.95564270019533,0.3430273830890655,0.7096748352050781,0.3010874078387305,0.1511727571487426,0.236942616347388,0.1551715463399887,0.3229534417926741,0.1026069128087588,0.1594802737236023,0.4225993277061553,0.5093347430229187,0.1737063051689238,0.2614088058471679,0.0,0.0,0.4744373106921262,0.4927812020403156,0.0295547744373857,0.0032267128301724,0.9853628261487016,8.873222982454583e-07,0.9999947453733652,0.4006270274352514,0.5876473685083743,0.0017869289660189,0.0099386750903551,1.752233796700833e-06,0.9999710815854554,5.912269766096164e-09,1,1,72.91666666666667,2.083333333333333,79.12553756180395,0.8744624381960477,0.2890625,0.36082365415318096,False
