tag,theta,phi,order,r_cross_re,r_cross_im,R_cross,R_co,T_tot,A
A_P239_H200_s11_wf,0.0,0.0,9,0.051284804940223694,-0.5576582551002502,0.3135576844215393,0.11079780757427216,0.2891615629196167,0.28648293018341064
A_P239_H200_s11_wf,0.0,0.0,11,0.04476115107536316,-0.559897780418396,0.3155646324157715,0.10992246866226196,0.2888556718826294,0.28565713763237
A_P239_H200_s11_wf,0.0,0.0,13,0.040627703070640564,-0.5608392357826233,0.3160346448421478,0.1099277064204216,0.2885250747203827,0.2855125069618225
A_P239_H200_s11_wf,0.0,0.0,15,0.03793725371360779,-0.5614650845527649,0.3165411949157715,0.10956761240959167,0.2891217768192291,0.2847694158554077
A_P239_H200_s11_wf,60.0,0.0,9,0.5487477779388428,-0.15497860312461853,0.3251856565475464,0.033953942358493805,0.331335186958313,0.30952519178390503
A_P239_H200_s11_wf,60.0,0.0,11,0.5468271970748901,-0.16260068118572235,0.3256361484527588,0.03346507251262665,0.3305022418498993,0.3103965222835541
A_P239_H200_s11_wf,60.0,0.0,13,0.5453499555587769,-0.16755971312522888,0.3257094621658325,0.033075906336307526,0.3302971422672272,0.31091755628585815
A_P239_H200_s11_wf,60.0,0.0,15,0.5446193218231201,-0.17105498909950256,0.32586950063705444,0.03260885179042816,0.33003345131874084,0.31148815155029297
A_P239_H200_s11_wf,60.0,45.0,9,0.7595269680023193,0.12106026709079742,0.3494832515716553,0.005232641473412514,0.24104109406471252,0.40424299240112305
A_P239_H200_s11_wf,60.0,45.0,11,0.7609407901763916,0.11218135058879852,0.34703677892684937,0.005896789953112602,0.24206943809986115,0.40499699115753174
A_P239_H200_s11_wf,60.0,45.0,13,0.7627551555633545,0.10640453547239304,0.3467227816581726,0.006181413307785988,0.2424020916223526,0.4046936631202698
A_P239_H200_s11_wf,60.0,45.0,15,0.7646816372871399,0.10255672037601471,0.34700584411621094,0.0062844655476510525,0.2444465160369873,0.40226316452026367
A_P239_H200_s11_wf,80.0,0.0,9,0.795687735080719,-0.03172798454761505,0.6341719627380371,0.013430589810013771,0.18006767332553864,0.17232970893383026
A_P239_H200_s11_wf,80.0,0.0,11,0.7951720356941223,-0.034860484302043915,0.6334657669067383,0.013357178308069706,0.1807476133108139,0.1724294275045395
A_P239_H200_s11_wf,80.0,0.0,13,0.7950100898742676,-0.0372135266661644,0.6332875490188599,0.013297982513904572,0.18099941313266754,0.17241494357585907
A_P239_H200_s11_wf,80.0,0.0,15,0.7944636344909668,-0.03793689236044884,0.632461667060852,0.013220066204667091,0.18131303787231445,0.17300519347190857
