tag,variant,theta,R_cross,R_co,T_tot,A
rectangle,real,0.0,0.22882746160030365,0.4465973973274231,0.10261896997690201,0.22195613384246826
rectangle,real,5.0,0.23062491416931152,0.44341862201690674,0.10285186767578125,0.22310450673103333
rectangle,real,10.0,0.2359386384487152,0.43244773149490356,0.10410097986459732,0.22751256823539734
rectangle,real,15.0,0.24375887215137482,0.4122847318649292,0.10735777020454407,0.23659861087799072
rectangle,real,20.0,0.2547713816165924,0.38243579864501953,0.11557067930698395,0.2472221404314041
rectangle,real,25.0,0.2666170001029968,0.34093937277793884,0.1318410485982895,0.26060253381729126
rectangle,real,30.0,0.27561846375465393,0.2890092134475708,0.16098660230636597,0.2743856906890869
rectangle,real,35.0,0.2801632285118103,0.22879573702812195,0.2026403397321701,0.2884005904197693
rectangle,real,40.0,0.27670180797576904,0.16821324825286865,0.25503379106521606,0.30005109310150146
rectangle,real,45.0,0.2685168981552124,0.11531630903482437,0.3092961609363556,0.3068706691265106
rectangle,real,50.0,0.2593027651309967,0.07559452950954437,0.3554769456386566,0.30962568521499634
rectangle,real,55.0,0.25601905584335327,0.048919204622507095,0.38677236437797546,0.30828937888145447
rectangle,real,60.0,0.2654668688774109,0.03213491290807724,0.3997601568698883,0.30263808369636536
rectangle,real,65.0,0.29280656576156616,0.021493732929229736,0.3944453299045563,0.29125434160232544
rectangle,real,70.0,0.3447488844394684,0.014316538348793983,0.37019383907318115,0.2707407474517822
rectangle,real,75.0,0.42833954095840454,0.008864233270287514,0.3250633180141449,0.23773279786109924
rectangle,real,80.0,0.555225133895874,0.004585503600537777,0.2543717324733734,0.18581756949424744
rectangle,real,85.0,0.7396258115768433,0.0014177178964018822,0.15032298862934113,0.10863345116376877
rectangle,lossless,0.0,0.32505711913108826,0.5405063629150391,0.13439679145812988,3.9643142372369766e-05
rectangle,lossless,5.0,0.32796090841293335,0.5370115637779236,0.13487116992473602,0.0001562724355608225
rectangle,lossless,10.0,0.3362085223197937,0.5255436897277832,0.1381039023399353,0.00014384921814780682
rectangle,lossless,15.0,0.3513821065425873,0.5053590536117554,0.14449453353881836,-0.0012357841478660703
rectangle,lossless,20.0,0.3695322573184967,0.47171932458877563,0.15875068306922913,-2.3795291781425476e-06
rectangle,lossless,25.0,0.390571653842926,0.4238779842853546,0.1853959560394287,0.00015432201325893402
rectangle,lossless,30.0,0.4132990539073944,0.3591749668121338,0.227340966463089,0.0001849830150604248
rectangle,lossless,35.0,0.4219614863395691,0.28463560342788696,0.29354918003082275,-0.00014640390872955322
rectangle,lossless,40.0,0.4210277795791626,0.20688125491142273,0.37206366658210754,2.7298927307128906e-05
rectangle,lossless,45.0,0.4044548273086548,0.14042317867279053,0.4551047682762146,1.7151236534118652e-05
rectangle,lossless,50.0,0.3834632933139801,0.09265275299549103,0.523871123790741,1.2800097465515137e-05
rectangle,lossless,55.0,0.36660993099212646,0.06253360956907272,0.5708463788032532,1.0028481483459473e-05
rectangle,lossless,60.0,0.363566517829895,0.04474741220474243,0.5916633605957031,2.275407314300537e-05
rectangle,lossless,65.0,0.3807049095630646,0.03336009383201599,0.5860140323638916,-7.911026477813721e-05
rectangle,lossless,70.0,0.42400091886520386,0.024601614102721214,0.5513343811035156,6.303191184997559e-05
rectangle,lossless,75.0,0.4983464181423187,0.016527535393834114,0.48516783118247986,-4.178285598754883e-05
rectangle,lossless,80.0,0.6122258305549622,0.009008955210447311,0.3787342607975006,3.091245889663696e-05
rectangle,lossless,85.0,0.7755600214004517,0.002832436468452215,0.221605122089386,2.294778823852539e-06
A_P239_H200_s11_wf,real,0.0,0.3135576844215393,0.11079780757427216,0.2891615629196167,0.28648293018341064
A_P239_H200_s11_wf,real,5.0,0.31717926263809204,0.10749860852956772,0.286844938993454,0.2884771227836609
A_P239_H200_s11_wf,real,10.0,0.32685387134552,0.0979803130030632,0.28044387698173523,0.2947218716144562
A_P239_H200_s11_wf,real,15.0,0.34214112162590027,0.08234953880310059,0.2710851728916168,0.3044241666793823
A_P239_H200_s11_wf,real,20.0,0.3587421178817749,0.0615832582116127,0.2624310553073883,0.3172435164451599
A_P239_H200_s11_wf,real,25.0,0.3711448311805725,0.03909917175769806,0.2589748501777649,0.33078110218048096
A_P239_H200_s11_wf,real,30.0,0.3730175495147705,0.019869312644004822,0.2649882733821869,0.342124879360199
