tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross0,R_co0,pb_phase_err_deg0,abs_rx0,abs_ry0,Rc_mean,Rc_min,Rc_soft,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,T_max,A_mean,A_max,theta_worst,phi_worst,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill
A_P239_H200_s11_wf,A,239.0,200.0,11,45,96,9,9,refinement,23.9,95.6,249.681077003479,318a87ac53a1be6acbfa09e2ce2a891944a2323949f7e1b9142a18dff59d1678,0.313481718301773,0.1109099239110946,59.84883117675781,0.7459602355957031,0.5405920147895813,0.37471680414109,0.2625452280044555,0.3510672805212908,0.3014869034290314,0.3702653138565663,0.0573827151342162,0.116047978401184,0.252914738087427,0.3312530815601349,0.3149857194650741,0.4661644101142883,60.0,90.0,0.4713842737141789,0.4742154661701554,0.0310973118510838,0.0233029482645818,0.9983246182348156,2.1607269990486174e-07,0.999917557878703,0.3318121092237016,0.6534495942088218,0.0116728359355435,0.003065460631933,9.654786276941584e-06,0.999989762812033,1.4022663457731816e-08,1,1,87.13541666666667,52.28125,84.29730637182388,11.302693628176115,0.2421875
A_P233_H200_s11_wf,A,233.0,200.0,11,45,96,9,9,refinement,23.3,93.2,255.55424690246585,545c0b571b7d42cc19f85db096e787d2fc1726d2c15dbafa4caf16dd18254965,0.2896515727043152,0.115316092967987,62.51839447021485,0.7422653436660767,0.5090399384498596,0.3681995485510145,0.2897002100944519,0.3465824696402763,0.2942662894725799,0.3722915413621527,0.0596981574448623,0.1153395324945449,0.2737450961555753,0.3677640259265899,0.2983571794771013,0.3738968968391418,0.0,0.0,0.4496640575221152,0.4998399001520544,0.0289752005923859,0.0215208417334443,0.9983895703676168,1.1881514583530877e-07,0.9999272668473824,0.3533898703681598,0.6302086645493691,0.0132482082573539,0.0031532568251171,8.932754073338367e-06,0.9999928274932142,1.6388961076831496e-08,1,1,84.94791666666667,50.96875,83.95393165932748,9.246068340672522,0.2513020833333333
A_P245_H200_s11_wf,A,245.0,200.0,11,45,96,9,9,refinement,24.5,98.0,602.0120298862457,d9750f994ff7b3766958e15e78441f32d43e95e0ae20f1fcf8775ff2df2c5730,0.3349888324737549,0.1145026609301567,59.59693908691406,0.748112678527832,0.5826002359390259,0.3979908731721696,0.0962149053812027,0.33853345321349,0.2808492332696914,0.3853871779948961,0.0580863936837496,0.1423991918563842,0.2192850403842471,0.3549331128597259,0.3246376776979083,0.4993572235107422,60.0,90.0,0.5032274941154797,0.4343952717454264,0.0377825147076424,0.0245947194314514,0.998385670609006,2.962012419862436e-07,0.9999008394029604,0.3074055757491982,0.6790092913944057,0.010515062640706,0.0030700702156901,1.322684576369142e-05,0.999987202948141,4.0695923184627673e-08,1,1,84.21875,53.59375,84.73915917482454,13.260840825175464,0.2335069444444444
A_P239_H190_s11_wf,A,239.0,190.0,11,45,96,9,9,refinement,23.9,95.6,594.9310529232025,2d43bcc14e3458c9ce9a6ec8cce6b99c60e49d061706dbc9153064edc6c22744,0.3331736624240875,0.1662738025188446,68.61431121826172,0.8361759781837463,0.5474244952201843,0.3677605475698198,0.2544828057289123,0.3519466050837776,0.3021007895469665,0.3591539871382732,0.0824349498753214,0.1662591695785522,0.2677205116266296,0.442082941532135,0.2820839647735868,0.3881412148475647,60.0,0.0,0.5398967084966072,0.4226679442538316,0.0260146695052264,0.0114206777443347,0.998813530627504,1.432028501887507e-07,0.9998913680113242,0.3372752015800381,0.6498713416058176,0.010886758738979,0.0019666980751651,1.067031594418531e-05,0.999990817246677,8.0271119263625e-09,1,1,87.13541666666667,52.28125,85.02938530306662,10.570614696933376,0.2456597222222222
A_P252_H200_s11_wf,A,252.0,200.0,11,45,96,9,9,refinement,25.200000000000003,100.8,245.65631198883057,28a01980b3ffb15896bc58599aa30f01769e25b24c919870cde9bc345fa6b6fb,0.3628504276275635,0.1220025941729545,60.029090881347656,0.7320537567138672,0.6586028933525085,0.4233248560201554,0.1363531053066253,0.3486356720458309,0.2707465648651123,0.4108131105484717,0.0627139894343036,0.1984273344278335,0.1579863361659504,0.4541512131690979,0.3559747891766684,0.5197973251342773,45.0,90.0,0.5180468167016805,0.411627289657557,0.0413806001305009,0.0289452935102613,0.9982316257004736,2.276737380257869e-07,0.9998731961493535,0.287725434541305,0.7028764497624413,0.0063443432391322,0.0030537724571213,9.55865056169907e-06,0.9999847518864624,1.7652960093864947e-09,1,1,86.625,55.125,85.56453156828476,15.235468431715232,0.2274305555555555
A_P239_H210_s11_wf,A,239.0,210.0,11,45,96,9,9,refinement,23.9,95.6,639.2865557670593,e2c98fab57cf7d6dbdd26f40bb9d2c214b506349a2b503a71037b34e009debeb,0.2563730478286743,0.0769535824656486,53.741329193115234,0.6864648461341858,0.4418568015098572,0.352650652329127,0.2563141584396362,0.3217265185338934,0.2604645609855652,0.3599873597661028,0.0426938689003388,0.0769215822219848,0.3155418364774613,0.378745287656784,0.2891136230457397,0.3570160865783691,0.0,0.0,0.421673442654878,0.5198272065251408,0.0279629521788347,0.0305363986411463,0.9974041609003708,1.360270680405249e-07,0.9999423592678665,0.370181453668386,0.6080553800098764,0.0177995438986421,0.0039636224230955,9.955511726538048e-06,0.9999908627394856,4.274807963163374e-08,1,1,82.15625,52.28125,81.15048827309549,14.449511726904504,0.2248263888888889
A_P246_H200_s11_wf,A,246.0,200.0,11,45,96,9,9,refinement,24.6,98.4,595.0863428115845,e0c4be176828cffe5ffa83818aa49b9449fb96681b831579cab426ca90a9087e,0.3322544693946838,0.1073131710290908,57.410404205322266,0.7593621015548706,0.5499793291091919,0.3876890497548239,0.1573175489902496,0.3480635277209253,0.2909444034099578,0.3750592328557269,0.053558706050916,0.1162416040897369,0.2414086808760961,0.3435513377189636,0.3173435351678303,0.5152636766433716,60.0,90.0,0.517827973978729,0.42580141817163,0.0334302729314301,0.0229403349182108,0.9982853406182992,1.6106882558487477e-07,0.999908820004786,0.3080902125437044,0.6756517650213236,0.0133084600169543,0.0029495624180174,8.221063802822903e-06,0.9999898310458952,2.1830621561640382e-09,1,1,84.5625,53.8125,83.60585776801169,14.794142231988316,0.2274305555555555
A_P258_H200_s11_wf,A,258.0,200.0,11,45,96,9,9,refinement,25.8,103.2,595.5817728042603,6f463695473718d55de16ca5722c72c87039973fcdf2fab0eb6676a947c16169,0.3742939233779907,0.1012817546725273,54.01377487182617,0.7600107789039612,0.6116006374359131,0.4166252116362254,0.176445186138153,0.3608234398185663,0.2836179912090301,0.4005453005636629,0.0533699915644579,0.1646951138973236,0.1870906995165915,0.484949916601181,0.3429140625965027,0.5095319151878357,60.0,90.0,0.5666007522120292,0.3651337035902695,0.0423700481561538,0.0258954960415474,0.9982928148142772,3.065862252771292e-07,0.9998574384674188,0.2890362560730917,0.7005036044819191,0.0078645932279108,0.0025955462170784,8.780645730813876e-06,0.9999824202904184,2.7062390201250032e-08,1,1,88.6875,56.4375,86.10491647185427,17.095083528145736,0.2131076388888889
A_P252_H190_s11_wf,A,252.0,190.0,11,45,96,9,9,refinement,25.200000000000003,100.8,1296.350445985794,95be9f4fd1dac5f18e6c56d67a21115f46a8bb0fb1ee8e8c2ad7c0c30f362f14,0.3811487555503845,0.1880990415811538,69.85566711425781,0.8180157542228699,0.6851435303688049,0.4105213256109328,0.1464510858058929,0.3458503405826164,0.2570231974124908,0.3882545416086825,0.0911436197985451,0.2453048229217529,0.1602585642110733,0.4395039677619934,0.3380764573812485,0.4919922351837158,45.0,90.0,0.5978813799201985,0.3439669842666464,0.0427968220162986,0.0153548137968563,0.9989993935833134,2.497024300472248e-07,0.9998073345926533,0.2883131672465153,0.704783530667176,0.0049324560721958,0.0019708460141128,9.435462756786145e-06,0.9999853526554038,8.804911655100982e-09,1,1,86.625,55.125,88.02560884481288,12.774391155187118,0.2365451388888889
A_P252_H210_s11_wf,A,252.0,210.0,11,45,96,9,9,refinement,25.200000000000003,100.8,1717.267555475235,1203e9a4fcc90b1d5353660da332f989ffeed53cb767ce0c423f9d02e3f2b5ff,0.2985667884349823,0.0790353417396545,51.80177688598633,0.7115519642829895,0.4988413155078888,0.3745235956850506,0.1642793416976928,0.3335316125369296,0.2725242733955383,0.3683800058480224,0.0438857226649166,0.0875408053398132,0.2662011775232497,0.3378752470016479,0.315389484167099,0.4832178056240082,60.0,90.0,0.4780403268532689,0.4626161767368731,0.0269395308493798,0.0324039655604781,0.9968934963600088,1.9417534130126068e-07,0.9999172088963052,0.3320036592510066,0.6520213503625,0.0124468604185691,0.0035281299679245,7.576140444278241e-06,0.9999868138946236,1.1315304319086508e-08,1,1,86.625,55.125,80.67338664330387,20.12661335669613,0.2035590277777778
