tag,method,P,H,seed,iters,n_grid,order_opt,order_final,stage,padding_nm,design_radius_nm,runtime_s,sha256_rho,R_cross0,R_co0,pb_phase_err_deg0,abs_rx0,abs_ry0,Rc_mean,Rc_min,Rc_soft,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,T_max,A_mean,A_max,theta_worst,phi_worst,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,mx_in_MD_y,my_in_MD_y,n_components,n_air_components,min_si_linewidth_nm,min_air_gap_nm,radial_extent_nm,edge_clearance_nm,fill
B_P226_H200_s11_wf,B,226.0,200.0,11,45,96,9,9,refinement,22.6,90.4,1552.1857869625092,e35a98eca650d600281372580179c83479ccbaf927ee579819be93ac4e943273,0.2649724185466766,0.0964480638504028,61.42654800415039,0.6647816896438599,0.5300387740135193,0.35245538183621,0.2649831771850586,0.324397641996999,0.2661302387714386,0.3553242240977604,0.0542936514442165,0.0964601635932922,0.2785968815996533,0.3626035749912262,0.3146540579341707,0.4050040543079376,0.0,0.0,0.3857746038756763,0.5509059491394239,0.0383098413940755,0.0250096055908241,0.998911527402304,9.618070451249738e-08,0.9999527347014756,0.3381037223466418,0.6427560650472419,0.0147991517554589,0.0043410608506573,6.8316045749787904e-06,0.9999944292658758,1.2474058430298964e-08,1,1,87.10416666666666,2.3541666666666665,88.78985436325044,1.6101456367495643,0.2829861111111111
B_P220_H200_s11_wf,B,220.0,200.0,11,45,96,9,9,refinement,22.0,88.0,1607.7667696475985,acef0cc08a185d69324dfd79db8c430f89d0760653ba0559d76ae1a54de53711,0.2409228682518005,0.1205634102225303,69.90882873535156,0.6708325147628784,0.5224316120147705,0.3574458523875191,0.2409326583147049,0.3204908689018226,0.2465102165937423,0.3690962285078312,0.0645840111787297,0.1210373193025589,0.2856694729555221,0.3681386113166809,0.2923006450846082,0.3838225305080414,0.0,0.0,0.3779402305381457,0.5719801329910471,0.0275482234357053,0.0225314130351017,0.9988525407803308,9.51107124597405e-08,0.999955455745493,0.3536720211130171,0.6274843471284492,0.014455375055832,0.0043882567027017,8.431081896674083e-06,0.9999926110924796,4.3243836903949625e-08,1,1,84.79166666666666,2.2916666666666665,86.55403839509744,1.445961604902564,0.2916666666666667
B_P232_H200_s11_wf,B,232.0,200.0,11,45,96,9,9,refinement,23.200000000000003,92.8,1508.7172520160675,412d6cc2c3761616864d90a3d0c2c1999a5481d3c69a86c54e67541da55435ed,0.2891899943351745,0.0822713673114776,55.37413024902344,0.6667295694351196,0.5463294386863708,0.3504083142394111,0.2242704331874847,0.319948699988051,0.2604082226753235,0.3447704393319445,0.0497075348560299,0.09373739361763,0.2686887780825297,0.3401914536952972,0.3311953509137744,0.4501601755619049,75.0,90.0,0.3911708351592495,0.5363451108798849,0.0449231485990601,0.0275609053618055,0.998841175452094,1.674059078686652e-07,0.999943075745074,0.3307750652677412,0.6525546355632221,0.0126526050334012,0.0040176941356355,8.940208218536862e-06,0.9999926533922237,2.0744180572352294e-08,1,1,84.58333333333333,12.083333333333332,90.0512392721191,2.7487607278808923,0.2725694444444444
B_P226_H190_s11_wf,B,226.0,190.0,11,45,96,9,9,refinement,22.6,90.4,1475.7372884750366,9e63f3bf2fb11f2ffc8c3025610b368e82a126079158df8d06aa19a3992e9966,0.3038479685783386,0.1812583357095718,74.88311767578125,0.7774329781532288,0.6050056219100952,0.3596272624674297,0.2348789870738983,0.3352484772771464,0.2773292124271392,0.3560240166126306,0.095808252875613,0.1934435069561004,0.2326110534015156,0.3901391327381134,0.3119533799943469,0.4459983706474304,75.0,90.0,0.4687383954163271,0.4888849901891287,0.0278817895174937,0.0144948248770504,0.999092328102946,1.0350602360105969e-07,0.9999283343669548,0.3331171399292327,0.6555780466478194,0.0085315060040403,0.0027733074189076,5.748162928508091e-06,0.999992265965474,1.7763603891836952e-08,1,1,87.10416666666666,2.3541666666666665,88.78985436325044,1.6101456367495643,0.2921006944444444
B_P233_H185_s11_wf,B,233.0,185.0,11,45,96,9,9,refinement,23.3,93.2,2615.278834581375,f7e8f02d56eb10bfb9a735ae816e001de6e08712481fd7e196a0233473195979,0.3357285261154175,0.1727562099695205,69.6385726928711,0.8402791023254395,0.5575271844863892,0.3615485827128092,0.2035598903894424,0.340150816912464,0.2774275243282318,0.3503111515365862,0.0813658499752082,0.1727248430252075,0.2745209187269211,0.4863258004188537,0.2825646329493749,0.398368239402771,60.0,0.0,0.5203163351322955,0.4440665604646898,0.0263329962175769,0.0092841081854377,0.9991826198376856,1.0603233766355253e-07,0.999898320786913,0.3472667676521342,0.6412173060859188,0.0096657011091067,0.0018502251528402,8.45982472808027e-06,0.9999936857216252,1.985517250125308e-08,1,1,84.94791666666667,12.135416666666668,90.43939116553342,2.7606088344665807,0.2721354166666667
B_P245_H185_s11_wf,B,245.0,185.0,11,45,96,9,9,refinement,24.5,98.0,2458.2499363422394,dc9f70ead6a653a33071ec46fb6a368e4f4ac028decc2803ffb7ccc2559e1391,0.3893284797668457,0.1856924593448639,68.75670623779297,0.8343110680580139,0.6734821200370789,0.3948432036808559,0.0720430016517639,0.3190365046921764,0.2231525361537933,0.3613346437491122,0.0836048231992338,0.2284211218357086,0.2021985791978381,0.3973294496536255,0.3193533810831251,0.4418067932128906,60.0,90.0,0.5792849864670973,0.3630075834109056,0.0460303728919008,0.0116770572300964,0.9994201757065848,2.212259752054153e-07,0.9998490658589184,0.2943899315264909,0.6975068913601172,0.0061538077681194,0.0019493693452722,9.897921645342496e-06,0.9999886896212462,1.1361910240825616e-08,1,1,89.32291666666667,53.59375,92.59878388227187,5.401216117728126,0.2651909722222222
B_P239_H175_s11_wf,B,239.0,175.0,11,45,96,9,9,refinement,23.9,95.6,1426.8190314769745,ed758c52534409123a65dd1c3ac3b6e0e52a691b06bc7459968f2b649378c340,0.3561969399452209,0.2740904688835144,82.34725952148438,0.8760406970977783,0.7021530866622925,0.3557998467059362,0.0699809044599533,0.2924119415882429,0.2002761960029602,0.3222654763355423,0.1302402390477558,0.2880226671695709,0.2042130359581538,0.4196789264678955,0.3097468387512934,0.4438043236732483,60.0,90.0,0.583126416525024,0.3829173153198263,0.0282127125539982,0.0057435556011514,0.9993773443138068,2.4749645559427256e-07,0.9998648543725622,0.3016708447525958,0.6934089113139897,0.0037186545990383,0.0012015893343761,5.970134008290316e-06,0.999990273769862,1.279481990321129e-08,1,1,92.11458333333334,2.489583333333333,93.30126663843748,2.298733361562512,0.2829861111111111
B_P239_H195_s11_wf,B,239.0,195.0,11,45,96,9,9,refinement,23.9,95.6,1450.5620322227478,84ddbdee55c126205db6311d7dcd81735095f7032aa2627263914365b6c85158,0.3452050387859344,0.096389889717102,54.10497283935547,0.7507694363594055,0.5652648210525513,0.3679378302324386,0.2103293538093567,0.3339006314404583,0.2525794565677642,0.3465270047458848,0.051149911807096,0.1093240827322006,0.2627043014480954,0.3857671022415161,0.3182079274029958,0.4946765303611755,60.0,90.0,0.4726181374606906,0.4563312303779977,0.0499657176981363,0.0210849144631754,0.9991546270471924,2.2621110833419077e-07,0.999902965171916,0.3315755615035408,0.6558328662470329,0.0096598110768638,0.0029317611725625,8.95802813645056e-06,0.9999929501112298,1.5715424300207612e-08,1,1,87.13541666666667,52.28125,91.89564352593186,3.704356474068135,0.2643229166666667
B_P239_H170_s11_wf,B,239.0,170.0,11,45,96,9,9,refinement,23.9,95.6,1424.4546329975128,cba0126086bf98d784db56cf58283be2ebd520d9f2859f2fd3b1f506d8459806,0.3258805572986603,0.1707719713449478,66.54720306396484,0.4345203638076782,0.8968401551246643,0.3572406045028141,0.0827789306640625,0.2860160588373397,0.1945459425449371,0.3442083527174804,0.0745712284995187,0.1707344353199005,0.391968337552888,0.691326916217804,0.1762197961409886,0.2343273162841797,60.0,90.0,0.4058328327681969,0.5799279161382186,0.0131010712972867,0.0011381797962977,0.9697400102397192,5.931089762085491e-08,0.9999938553978514,0.5646044904755635,0.4135308747475025,0.0198506880496901,0.0020139467272439,1.801854836207332e-06,0.9998879916052252,2.7629898659910992e-08,1,1,82.15625,57.26041666666667,92.29943445725156,3.30056554274843,0.2578125
B_P226_H210_s11_wf,B,226.0,210.0,11,45,96,9,9,refinement,22.6,90.4,252.38689732551572,5cd6606c8b04647a421640d31085233a9c54809d217883521861f09b2b70aecc,0.2063361853361129,0.0540820732712745,52.47321319580078,0.5775741338729858,0.4326986372470855,0.3228603218282972,0.2063207924365997,0.2796886410819858,0.210431683063507,0.3307910542727857,0.0379406039470008,0.0907045230269432,0.3578669322388513,0.4578067362308502,0.2813321103652318,0.3697141110897064,0.0,0.0,0.3097508488564386,0.6167952524184451,0.0397033325714618,0.0337505661536543,0.9984763158545906,1.004979015152457e-07,0.9999681917309976,0.3766823431040841,0.5969134243772277,0.0208309133807188,0.0055733191379694,1.069836129280338e-05,0.99999266079736,8.33375843008584e-08,1,1,82.39583333333333,2.3541666666666665,88.22630234429654,2.173697655703464,0.2682291666666667
